EIA_Plant_ID,EIA_Generator_ID,EIA_Plant_Name,Status,Install_Year,Retirement_Year,Sync_To_Grid,Summer_Capacity_MW,Winter_Capacity_MW,Primary_Energy_Source,Secondary_Energy_Source,Technology,Prime_Mover,Source,Latitude,Longitude,NERC_Region,BA_Code,State,County,Transmission_Owner,Region,Type,Retired_Flag,New_Install_Flag,State_BA_Region,Planning_Region,Fuel_Type_Detail,Fuel_Type_Simple,Dual_Fuel,Interconnect,Notes
1125,6,Bancroft,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1125,7,Bancroft,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1142,4,Graettinger,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1142,5,Graettinger,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1142,6,Graettinger,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1145,IC1,Grundy Center City Light Plant,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1145,IC2,Grundy Center City Light Plant,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1145,IC3,Grundy Center City Light Plant,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1153,3,Lake Park,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1153,G2,Lake Park,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1186,GT1,Spencer Gas Turbine,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1191,G1,Sumner,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1191,G2,Sumner,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1191,G3,Sumner,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1198,6,Webster City,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
1263,5,Belleville,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from SPP-S to SPP-N
1263,6,Belleville,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from SPP-S to SPP-N
1263,7,Belleville,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from SPP-S to SPP-N
1263,8,Belleville,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from SPP-S to SPP-N
2098,1,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,2,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,3,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,4,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,5,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,6,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
2098,7,Lake Road (MO),,,,,,,,,,,,,,,,,,,,,,,,SPP-S,,,,,Per conversation on MO split of SPP-S and SPP-N
6204,1,Laramie River Station,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Per review of utilities in SPP. Basin Electric Power Coop participates in SPP EI and Laramie 1 is sited at an RTO/ISO LMP Node in EIA 860
10156,BESS1,Fresno Cogen Partners,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
50064,4,University of California Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
50064,18027,University of California Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
50064,246,University of California Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
