GridPath_Fuel_Type,Min_Value,Max_Value,Size,Generator Catagory/Classification,Start,End,# Units,Unit-Years,NMC,NDC,Attempts,Actual,SH,RSH,# RSH,Pump Hr,SCH,AH,FOH,# FOH,POH,# POH,SEPO,# SEPO,MOH,# MOH,SEMO,# SEMO,UAH,PH,EFDH,ESDH,EFDHRS,EDOH,POF,MOF,ART,SR,NCF,NOF,SF,AF,EAF,FOR,EFOR,EFORd,SOF,FOF,UOF,EUOF,EUOR,WSF,WAF,WEAF,WFOR,WEFOR,WSOF,WFOF
,,,All Sizes,FOSSIL  All Fuel Types    All Sizes,2019,2023,"1,037","4,141.58",345,344,30.48,30.12,"4,269.82","2,292.46",13.93,0,0.45,"6,562.73",506.98,5.57,736.39,1.34,38.86,0.13,325.79,2.54,6.61,0.05,"1,614.64","8,177.37",173.97,47.35,41.4,221.32,9.48,4.06,141.76,98.82,37.23,66.42,52.22,80.25,77.16,10.61,14.13,10.85,13.55,6.2,10.26,12.62,20,56.05,79.82,76.78,9.34,12.89,14.41,5.78
,0,99,001-099,FOSSIL  All Fuel Types      001-099,2019,2023,209,826.75,52,52,33.56,33.42,"3,495.14","2,507.10",17.48,0,0,"6,002.24",633.79,4.76,563.45,1.09,31.11,0.07,271.91,1.58,0.9,0.01,"1,501.16","7,503.41",131.79,54.45,32.72,186.25,7.92,3.64,104.58,99.58,30.08,63.02,46.58,79.99,76.67,15.35,18.4,13.02,11.56,8.45,12.08,14.02,23.72,47.73,80.44,77.19,14.6,17.99,11.4,8.16
,100,200,100-199,FOSSIL  All Fuel Types      100-199,2019,2023,220,778.92,135,134,76.75,76.4,"3,446.20","2,960.30",18.82,0,0,"6,406.50",486.91,4.5,707.54,1.29,21.55,0.09,275.68,1.96,2.05,0.04,"1,493.72","7,900.23",155.64,42.86,48.63,198.49,9.23,3.52,45.11,99.54,26.22,59.18,43.62,81.09,78.13,12.38,16.14,10.21,12.74,6.16,9.68,11.87,21.94,44.3,80.77,77.8,12.4,16.15,12.96,6.27
,200,300,200-299,FOSSIL  All Fuel Types      200-299,2019,2023,117,472.58,231,230,15.36,15.04,"4,823.31","2,081.51",12.02,0,0,"6,904.82",378.66,5.6,702.57,1.41,20.2,0.11,349.06,3.27,14.28,0.11,"1,464.77","8,369.59",173.06,49.45,39.49,222.5,8.64,4.34,320.7,97.92,36.07,62.75,57.63,82.5,79.46,7.28,10.53,8.79,12.98,4.52,8.87,11.18,16.68,57.48,82.73,79.75,7.2,10.43,12.81,4.46
,300,400,300-399,FOSSIL  All Fuel Types      300-399,2019,2023,97,396.67,340,340,22.28,21.8,"3,910.19","2,737.73",18.99,0,0,"6,647.91",440.37,5.99,904.09,1.68,59.22,0.17,357.72,3.2,16.23,0.07,"1,777.63","8,425.55",196.02,47.77,49.38,243.79,11.43,4.44,179.37,97.85,25.41,55.17,46.41,78.9,75.82,10.12,14.46,10.93,15.87,5.23,9.66,12.28,21.61,46.05,78.84,75.84,10.17,14.45,15.94,5.21
,400,600,400-599,FOSSIL  All Fuel Types      400-599,2019,2023,189,799.83,482,481,15.58,15.15,"4,834.86","1,920.40",11.07,0,2.35,"6,757.62",506.74,6.65,791.2,1.52,66.99,0.19,352.1,3,3.3,0.04,"1,720.33","8,477.94",200.76,47.78,41.95,248.54,10.12,4.19,319.13,97.24,37.28,65.18,57.03,79.71,76.58,9.48,13.14,11.09,14.31,5.98,10.17,12.68,18.71,57.2,79.8,76.7,9.27,12.88,14.35,5.85
,600,800,600-799,FOSSIL  All Fuel Types      600-799,2019,2023,126,553.83,663,661,11.79,11.33,"5,229.92","1,569.58",7.06,0,0,"6,799.50",534.35,6.63,814.66,1.3,40.04,0.15,349.09,2.83,13.14,0.07,"1,751.29","8,550.78",206.05,43.25,44.48,249.29,10,4.24,461.6,96.1,44.41,72.22,61.16,79.52,76.31,9.27,12.75,11.21,14.23,6.25,10.49,13.17,18.23,61.5,79.48,76.28,9.23,12.68,14.27,6.26
,800,1000,800-999,FOSSIL  All Fuel Types      800-999,2019,2023,67,257,829,828,12.06,11.59,"4,838.54","2,224.34",9.07,0,0,"7,062.88",423.31,5.14,744.72,1.21,31.33,0.18,331.32,2.73,7.49,0.04,"1,538.16","8,601.04",165.87,31.97,35.02,197.84,9.02,3.94,417.48,96.1,38.4,67.87,56.26,82.12,79.78,8.04,11.12,9.33,12.96,4.92,8.86,11.09,16.92,56.57,82.27,79.95,7.84,10.88,12.92,4.81
,1000,100000,1000 Plus,FOSSIL  All Fuel Types    1000 Plus,2019,2023,13,56,"1,248","1,246",8.96,8.45,"4,863.34","1,236.10",5,0,0,"6,099.44",585.47,5.46,"1,193.33",1.25,28.58,0.2,764.41,3.59,0.47,0.02,"2,572.25","8,671.70",240.17,89.46,19.67,329.63,14.09,8.82,575.54,94.31,38.99,68.27,56.08,70.34,66.37,10.74,15.1,13.38,22.91,6.75,15.57,18.77,26.09,57.11,70.01,65.98,10.82,15.2,23.07,6.93
,,,All Sizes,FOSSIL  Coal Primary      All Sizes,2019,2023,636,"2,291.83",432,430,25.84,25.5,"5,171.87","1,376.87",5.93,0,0.82,"6,549.57",489.27,6.07,697.86,1.18,33.73,0.13,320.45,2.64,7.8,0.07,"1,549.11","8,098.68",170.72,51.21,18.72,221.93,9.03,4.05,202.82,98.68,45.45,69.84,63.86,80.87,77.69,8.64,11.62,9.96,13.09,6.04,10.09,12.45,16.77,65.07,80.08,77.05,8.54,11.56,13.85,6.08
COAL,0,100,001-099,FOSSIL  Coal Primary        001-099,2019,2023,82,213.75,57,57,10.4,10.33,"3,695.39","2,016.98",6.62,0,0,"5,712.37",335.4,5.11,562.68,0.87,22.57,0.07,159.08,1.39,1.25,0.01,"1,080.98","6,793.34",65.51,61.37,8.86,126.89,8.62,2.36,357.73,99.33,39.65,72.05,54.4,84.09,81.07,8.32,9.92,8.45,10.98,4.94,7.3,8.6,13.91,55.03,85.17,82.25,7.92,9.87,10.09,4.73
COAL,100,200,100-199,FOSSIL  Coal Primary        100-199,2019,2023,116,343.5,141,139,107.44,107.29,"4,496.78","1,375.58",4.52,0,0,"5,872.37",523.2,4.68,577.54,1.05,15.23,0.11,208.29,1.45,2.31,0.04,"1,326.57","7,198.94",155.15,55.65,12.93,210.8,8.23,2.93,41.91,99.86,41.49,67.04,62.46,81.57,77.66,10.42,13.48,10.79,11.16,7.27,10.19,12.48,17.12,61.88,80.99,77.22,11,14.05,11.37,7.65
COAL,200,300,200-299,FOSSIL  Coal Primary        200-299,2019,2023,76,292.25,229,228,11.03,10.74,"5,250.89","1,470.24",5.71,0,0,"6,721.14",412.19,6.19,624.77,1.33,21.11,0.12,415.15,3.67,23.08,0.18,"1,496.30","8,217.43",168.4,62.43,21.96,230.83,7.86,5.33,488.91,97.37,43.76,68.73,63.9,81.79,78.47,7.28,10.21,9.05,13.19,5.02,10.35,12.64,16.95,63.67,82.15,78.85,7.33,10.29,12.81,5.04
COAL,300,400,300-399,FOSSIL  Coal Primary        300-399,2019,2023,54,200.5,334,333,14.09,13.63,"4,671.02","1,915.33",9.45,0,0,"6,586.35",549.37,6.8,770.8,1.21,33.44,0.15,403.07,3.23,16.84,0.11,"1,773.51","8,359.86",253.64,64.14,38.73,317.78,9.62,5.02,342.7,96.74,36.66,65.57,55.87,78.79,74.74,10.52,15.27,12.79,14.64,6.57,11.59,15,22.01,55.9,78.74,74.73,10.64,15.35,14.61,6.66
COAL,400,600,400-599,FOSSIL  Coal Primary        400-599,2019,2023,129,525.42,488,486,12.17,11.81,"5,780.50","1,100.74",6,0,3.58,"6,884.83",490.47,6.71,715.4,1.28,60.31,0.17,301.67,2.76,2.72,0.04,"1,570.58","8,455.41",178.27,43.03,14.99,221.3,9.17,3.6,489.46,97.04,46.81,68.32,68.36,81.43,78.57,7.82,10.63,9.67,12.77,5.8,9.4,11.68,14.97,68.52,81.51,78.64,7.62,10.42,12.83,5.66
COAL,600,800,600-799,FOSSIL  Coal Primary        600-799,2019,2023,113,476.5,663,661,11.37,10.96,"5,739.36","1,107.71",5.63,0,0,"6,847.07",539.95,6.76,749.63,1.17,32.02,0.12,342.11,2.84,8.21,0.06,"1,671.92","8,518.98",183.56,44.66,18.44,228.22,9.18,4.11,523.66,96.39,49.54,73.5,67.37,80.37,77.38,8.6,11.49,10.45,13.29,6.34,10.45,12.92,16.54,67.4,80.38,77.41,8.6,11.47,13.28,6.34
COAL,800,1000,800-999,FOSSIL  Coal Primary        800-999,2019,2023,55,188.92,835,834,9.25,8.74,"5,324.39","1,565.42",5.31,0,0,"6,889.81",486.53,5.29,763.78,1.15,30.88,0.15,368.25,2.93,7,0.04,"1,656.43","8,546.24",157.68,28.13,26.58,185.81,9.3,4.39,609.2,94.49,42.29,67.81,62.3,80.62,78.41,8.37,11.04,9.8,13.69,5.69,10.08,12.21,16.79,62.36,80.9,78.72,8.13,10.77,13.58,5.52
COAL,1000,100000,1000 Plus,FOSSIL  Coal Primary      1000 Plus,2019,2023,12,51,"1,275","1,272",9.24,8.71,"5,285.98",712.11,4.14,0,0,"5,998.09",635.06,5.75,"1,298.55",1.35,31.38,0.22,698.97,3.65,0.52,0.02,"2,664.48","8,662.57",254.35,94.4,13.56,348.75,15.35,8.07,606.89,94.26,41.82,68.58,61.02,69.24,65.04,10.73,14.99,13.87,23.43,7.33,15.41,18.77,24.51,60.99,69.14,64.92,10.8,15.12,23.47,7.39
OIL,1000,100000,All Sizes,FOSSIL  Oil Primary       All Sizes,2019,2023,63,204.08,316,315,22.43,22.23,"1,902.37","4,553.30",23.3,0,0,"6,455.67",509.9,3,632.01,1.24,23.12,0.11,388.09,1.64,6.99,0.01,"1,560.11","8,015.78",254.43,15.4,83.44,269.83,8.17,4.93,85.58,99.11,4.87,44.9,23.73,80.54,77.06,21.14,30.63,14.9,13.1,6.36,11.29,14.6,40.37,10.84,82.38,80.36,21.86,31.47,14.59,3.03
OIL,0,100,001-099,FOSSIL  Oil Primary         001-099,2019,2023,15,66.58,68,68,49.16,48.89,"3,672.54","1,494.95",46.56,0,0,"5,167.49",954.49,3.72,293.63,0.26,0,0,501.8,1.52,0,0,"1,749.93","6,917.42",561.52,17.2,149.66,578.73,4.24,7.25,75.12,99.45,31.43,51.63,53.09,74.7,66.34,20.63,31.74,25.15,11.5,13.8,21.05,29.36,38.47,60.87,76.41,67.54,15.52,26.81,12.41,11.18
OIL,100,300,100-199,FOSSIL  Oil Primary         100-199,2019,2023,9,29,123,123,5.59,5.52,"2,620.60","4,728.06",7.62,0,0,"7,348.66",601.76,1.97,451.87,1.14,0,0,311.33,1.24,0,0,"1,364.96","8,713.62",240.26,6.63,19.88,246.89,5.19,3.57,474.75,98.75,20.14,59.02,30.07,84.34,81.5,18.67,25.97,16.32,8.76,6.91,10.48,13.29,32.59,34.12,84.47,81.25,15.74,23.35,9.16,6.37
,,,200-299,FOSSIL  Oil Primary         200-299,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OIL,300,400,300-399,FOSSIL  Oil Primary         300-399,2019,2023,12,40.42,364,363,13.83,13.61,"1,316.57","5,142.55",13.41,0,0,"6,459.12",255.6,2.92,"1,007.62",2.23,8.06,0.05,368.03,1.95,0,0,"1,639.32","8,098.44",23.99,14.11,4.83,38.09,12.54,4.54,96.74,98.41,5.62,34.48,16.26,79.76,79.27,16.26,17.73,10.41,17.09,3.16,7.7,8.1,33.74,16.3,80.08,79.6,15.66,17.15,16.89,3.03
OIL,400,600,400-599,FOSSIL  Oil Primary         400-599,2019,2023,11,29.92,463,461,8.79,8.76,166.48,"7,240.90",13.24,0,0,"7,407.37",182.21,2.64,929.13,2.04,57.91,0.27,188.52,1.94,0,0,"1,357.77","8,765.15",24.62,34.47,22.36,59.09,11.26,2.15,19,99.66,0.7,37.17,1.9,84.51,83.55,52.26,55.74,20.36,13.41,2.08,4.23,4.74,69.28,1.89,84.31,83.35,53.44,56.85,13.52,2.17
OIL,600,800,600-799,FOSSIL  Oil Primary         600-799,2019,2023,7,19.42,608,604,12.1,12,284.29,"7,078.28",16.12,0,0,"7,362.57",300.85,3.61,719.71,1.49,49.41,0.26,221.72,0.93,73.5,0.15,"1,365.19","8,727.76",105.06,0.47,98.89,105.53,8.81,3.38,23.69,99.17,1.36,41.72,3.26,84.36,82.74,51.42,59.34,21.7,12.19,3.45,6.83,8.04,71.58,3.26,84.18,82.45,50.88,59.46,12.45,3.37
OIL,800,1000,800-999,FOSSIL  Oil Primary         800-999,2019,2023,7,13.67,812,809,3.73,3.29,79.28,"7,120.38",8.05,0,0,"7,199.66",75.8,1.98,968.17,1.68,124.4,0.51,342.14,1.98,0,0,"1,510.51","8,710.17",244.79,0,240.86,244.79,12.54,3.93,24.1,88.2,0.27,29.44,0.91,82.66,79.53,48.88,80.97,29.63,16.47,0.87,4.8,7.61,89.79,0.91,82.67,79.6,48.39,80.63,16.49,0.85
,,,1000 Plus,FOSSIL  Oil Primary       1000 Plus,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GAS_SINGLE_FUEL,1000,100000,All Sizes,FOSSIL  Gas Primary       All Sizes,2019,2023,330,"1,297.00",240,240,37.91,37.43,"2,518.67","3,915.50",26.18,0,0,"6,434.17",560.06,4.75,840.55,1.6,51.05,0.12,368.47,2.66,6.14,0.03,"1,826.27","8,260.43",164.85,29.88,84.37,194.74,10.79,4.53,67.29,98.73,14.2,43.31,30.49,77.89,75.34,18.19,22.92,13.18,15.33,6.78,11.32,13.49,31.36,32.78,77.28,74.23,14.97,20.7,16.95,5.77
GAS_SINGLE_FUEL,0,100,001-099,FOSSIL  Gas Primary         001-099,2019,2023,83,318.33,53,53,35.05,34.85,"1,539.65","4,037.23",18.44,0,0,"5,576.88",883.14,3.14,570.13,1.1,42.84,0.04,380.5,1.41,1.34,0.01,"1,877.95","7,454.83",73.42,3.05,45.42,76.47,8.22,5.12,44.18,99.43,11.28,44.11,20.65,74.81,73.18,36.45,38.76,17.85,13.34,11.85,16.97,17.98,47.02,25.57,76.09,74.28,30.56,33.04,12.65,11.26
GAS_SINGLE_FUEL,100,200,100-199,FOSSIL  Gas Primary         100-199,2019,2023,101,394.08,131,131,57.45,56.92,"2,471.71","4,284.22",32.57,0,0,"6,755.93",456.65,4.63,849.84,1.55,29.31,0.08,330.84,2.44,2.03,0.04,"1,668.67","8,424.60",152.45,29.73,83.39,182.18,10.44,3.95,43.42,99.08,13.95,47.01,29.34,80.19,77.96,15.59,20.22,10.61,14.39,5.42,9.37,11.47,28.63,29.68,80.09,77.76,15.14,19.83,14.62,5.29
GAS_SINGLE_FUEL,200,300,200-299,FOSSIL  Gas Primary         200-299,2019,2023,43,150.17,235,235,23.01,22.67,"3,580.79","3,616.87",24.13,0,0,"7,197.66",303.54,4.03,817.38,1.41,19.2,0.11,248.37,2.74,0,0,"1,388.49","8,586.15",180.28,26.66,78.54,206.94,9.74,2.89,157.95,98.52,18.21,43.27,41.7,83.83,81.38,7.81,12.21,8.38,12.64,3.54,6.43,8.8,17.88,42.09,83.8,81.47,7.37,11.56,12.85,3.35
