project,availability_type,exogenous_availability_independent_scenario_id,exogenous_availability_weather_scenario_id,exogenous_availability_independent_bt_hrz_scenario_id,exogenous_availability_weather_bt_hrz_scenario_id,endogenous_availability_scenario_id
HQ_BATTERY_STORAGE,exogenous,,,1,3,
HQ_BIOMASS,exogenous,,,1,3,
HQ_COAL,exogenous,,,1,3,
HQ_DGPV,exogenous,,,1,3,
HQ_DR,exogenous,,,1,3,
HQ_GAS_(DUAL_FUEL),exogenous,,,1,3,
HQ_GAS_(SINGLE_FUEL),exogenous,,,1,3,
HQ_GEOTHERMAL,exogenous,,,1,3,
HQ_HYDRO,exogenous,,,1,3,
HQ_LBW,exogenous,,,1,3,
HQ_NUCLEAR,exogenous,,,1,3,
HQ_OIL,exogenous,,,1,3,
HQ_OTHER,exogenous,,,1,3,
HQ_PUMPED_STORAGE,exogenous,,,1,3,
HQ_UPV,exogenous,,,1,3,
IESO_BATTERY_STORAGE,exogenous,,,1,3,
IESO_BIOMASS,exogenous,,,1,3,
IESO_COAL,exogenous,,,1,3,
IESO_DGPV,exogenous,,,1,3,
IESO_DR,exogenous,,,1,3,
IESO_GAS_(DUAL_FUEL),exogenous,,,1,3,
IESO_GAS_(SINGLE_FUEL),exogenous,,,1,3,
IESO_GEOTHERMAL,exogenous,,,1,3,
IESO_HYDRO,exogenous,,,1,3,
IESO_LBW,exogenous,,,1,3,
IESO_NUCLEAR,exogenous,,,1,3,
IESO_OIL,exogenous,,,1,3,
IESO_OTHER,exogenous,,,1,3,
IESO_PUMPED_STORAGE,exogenous,,,1,3,
IESO_UPV,exogenous,,,1,3,
ISONE_BATTERY_STORAGE,exogenous,,,1,3,
ISONE_BIOMASS,exogenous,,,1,3,
ISONE_COAL,exogenous,,,1,3,
ISONE_DGPV,exogenous,,,1,3,
ISONE_DR,exogenous,,,1,3,
ISONE_GAS_(DUAL_FUEL),exogenous,,,1,3,
ISONE_GAS_(SINGLE_FUEL),exogenous,,,1,3,
ISONE_GEOTHERMAL,exogenous,,,1,3,
ISONE_HYDRO,exogenous,,,1,3,
ISONE_LBW,exogenous,,,1,3,
ISONE_NUCLEAR,exogenous,,,1,3,
ISONE_OIL,exogenous,,,1,3,
ISONE_OSW,exogenous,,,1,3,
ISONE_OTHER,exogenous,,,1,3,
ISONE_PUMPED_STORAGE,exogenous,,,1,3,
ISONE_UPV,exogenous,,,1,3,
MARITIMES_BATTERY_STORAGE,exogenous,,,1,3,
MARITIMES_BIOMASS,exogenous,,,1,3,
MARITIMES_COAL,exogenous,,,1,3,
MARITIMES_DGPV,exogenous,,,1,3,
MARITIMES_DR,exogenous,,,1,3,
MARITIMES_GAS_(DUAL_FUEL),exogenous,,,1,3,
MARITIMES_GAS_(SINGLE_FUEL),exogenous,,,1,3,
MARITIMES_GEOTHERMAL,exogenous,,,1,3,
MARITIMES_HYDRO,exogenous,,,1,3,
MARITIMES_LBW,exogenous,,,1,3,
MARITIMES_NUCLEAR,exogenous,,,1,3,
MARITIMES_OIL,exogenous,,,1,3,
MARITIMES_OTHER,exogenous,,,1,3,
MARITIMES_PUMPED_STORAGE,exogenous,,,1,3,
MARITIMES_UPV,exogenous,,,1,3,
MB_HYDRO_BATTERY_STORAGE,exogenous,,,1,3,
MB_HYDRO_BIOMASS,exogenous,,,1,3,
MB_HYDRO_COAL,exogenous,,,1,3,
MB_HYDRO_DGPV,exogenous,,,1,3,
MB_HYDRO_DR,exogenous,,,1,3,
MB_HYDRO_GAS_(DUAL_FUEL),exogenous,,,1,3,
MB_HYDRO_GAS_(SINGLE_FUEL),exogenous,,,1,3,
MB_HYDRO_GEOTHERMAL,exogenous,,,1,3,
MB_HYDRO_HYDRO,exogenous,,,1,3,
MB_HYDRO_LBW,exogenous,,,1,3,
MB_HYDRO_NUCLEAR,exogenous,,,1,3,
MB_HYDRO_OIL,exogenous,,,1,3,
MB_HYDRO_OTHER,exogenous,,,1,3,
MB_HYDRO_PUMPED_STORAGE,exogenous,,,1,3,
MB_HYDRO_UPV,exogenous,,,1,3,
MISO_C_BATTERY_STORAGE,exogenous,,,1,3,
MISO_C_BIOMASS,exogenous,,,1,3,
MISO_C_COAL,exogenous,,,1,3,
MISO_C_DGPV,exogenous,,,1,3,
MISO_C_DR,exogenous,,,1,3,
MISO_C_GAS_(DUAL_FUEL),exogenous,,,1,3,
MISO_C_GAS_(SINGLE_FUEL),exogenous,,,1,3,
MISO_C_GEOTHERMAL,exogenous,,,1,3,
MISO_C_HYDRO,exogenous,,,1,3,
MISO_C_LBW,exogenous,,,1,3,
MISO_C_NUCLEAR,exogenous,,,1,3,
MISO_C_OIL,exogenous,,,1,3,
MISO_C_OTHER,exogenous,,,1,3,
MISO_C_PUMPED_STORAGE,exogenous,,,1,3,
MISO_C_UPV,exogenous,,,1,3,
MISO_E_BATTERY_STORAGE,exogenous,,,1,3,
MISO_E_BIOMASS,exogenous,,,1,3,
MISO_E_COAL,exogenous,,,1,3,
MISO_E_DGPV,exogenous,,,1,3,
MISO_E_DR,exogenous,,,1,3,
MISO_E_GAS_(DUAL_FUEL),exogenous,,,1,3,
MISO_E_GAS_(SINGLE_FUEL),exogenous,,,1,3,
MISO_E_GEOTHERMAL,exogenous,,,1,3,
MISO_E_HYDRO,exogenous,,,1,3,
MISO_E_LBW,exogenous,,,1,3,
MISO_E_NUCLEAR,exogenous,,,1,3,
MISO_E_OIL,exogenous,,,1,3,
MISO_E_OTHER,exogenous,,,1,3,
MISO_E_PUMPED_STORAGE,exogenous,,,1,3,
MISO_E_UPV,exogenous,,,1,3,
MISO_S_BATTERY_STORAGE,exogenous,,,1,3,
MISO_S_BIOMASS,exogenous,,,1,3,
