project,availability_type,exogenous_availability_independent_scenario_id,exogenous_availability_weather_scenario_id,exogenous_availability_independent_bt_hrz_scenario_id,exogenous_availability_weather_bt_hrz_scenario_id,endogenous_availability_scenario_id
HQ_PROXY_GEN,exogenous,,,3,2,
IESO_PROXY_GEN,exogenous,,,3,2,
ISONE_BATTERY_STORAGE,exogenous,,,3,2,
ISONE_BIOMASS,exogenous,,,3,2,
ISONE_COAL,exogenous,,,3,2,
ISONE_DGPV,exogenous,,,3,2,
ISONE_DR,exogenous,,,3,2,
ISONE_GAS_DUAL_FUEL,exogenous,,,3,2,
ISONE_GAS_SINGLE_FUEL,exogenous,,,3,2,
ISONE_GEOTHERMAL,exogenous,,,3,2,
ISONE_HYDRO,exogenous,,,3,2,
ISONE_LBW,exogenous,,,3,2,
ISONE_NUCLEAR,exogenous,,,3,2,
ISONE_OIL,exogenous,,,3,2,
ISONE_OSW,exogenous,,,3,2,
ISONE_OTHER,exogenous,,,3,2,
ISONE_PUMPED_STORAGE,exogenous,,,3,2,
ISONE_UPV,exogenous,,,3,2,
MARITIMES_PROXY_GEN,exogenous,,,3,2,
MB_HYDRO_PROXY_GEN,exogenous,,,3,2,
MISO_C_BATTERY_STORAGE,exogenous,,,3,2,
MISO_C_BIOMASS,exogenous,,,3,2,
MISO_C_COAL,exogenous,,,3,2,
MISO_C_DGPV,exogenous,,,3,2,
MISO_C_DR,exogenous,,,3,2,
MISO_C_GAS_DUAL_FUEL,exogenous,,,3,2,
MISO_C_GAS_SINGLE_FUEL,exogenous,,,3,2,
MISO_C_GEOTHERMAL,exogenous,,,3,2,
MISO_C_HYDRO,exogenous,,,3,2,
MISO_C_LBW,exogenous,,,3,2,
MISO_C_NUCLEAR,exogenous,,,3,2,
MISO_C_OIL,exogenous,,,3,2,
MISO_C_OTHER,exogenous,,,3,2,
MISO_C_PUMPED_STORAGE,exogenous,,,3,2,
MISO_C_UPV,exogenous,,,3,2,
MISO_E_BATTERY_STORAGE,exogenous,,,3,2,
MISO_E_BIOMASS,exogenous,,,3,2,
MISO_E_COAL,exogenous,,,3,2,
MISO_E_DGPV,exogenous,,,3,2,
MISO_E_DR,exogenous,,,3,2,
MISO_E_GAS_DUAL_FUEL,exogenous,,,3,2,
MISO_E_GAS_SINGLE_FUEL,exogenous,,,3,2,
MISO_E_GEOTHERMAL,exogenous,,,3,2,
MISO_E_HYDRO,exogenous,,,3,2,
MISO_E_LBW,exogenous,,,3,2,
MISO_E_NUCLEAR,exogenous,,,3,2,
MISO_E_OIL,exogenous,,,3,2,
MISO_E_OTHER,exogenous,,,3,2,
MISO_E_PUMPED_STORAGE,exogenous,,,3,2,
MISO_E_UPV,exogenous,,,3,2,
MISO_S_BATTERY_STORAGE,exogenous,,,3,2,
MISO_S_BIOMASS,exogenous,,,3,2,
MISO_S_COAL,exogenous,,,3,2,
MISO_S_DGPV,exogenous,,,3,2,
MISO_S_DR,exogenous,,,3,2,
MISO_S_GAS_DUAL_FUEL,exogenous,,,3,2,
MISO_S_GAS_SINGLE_FUEL,exogenous,,,3,2,
MISO_S_GEOTHERMAL,exogenous,,,3,2,
MISO_S_HYDRO,exogenous,,,3,2,
MISO_S_LBW,exogenous,,,3,2,
MISO_S_NUCLEAR,exogenous,,,3,2,
MISO_S_OIL,exogenous,,,3,2,
MISO_S_OTHER,exogenous,,,3,2,
MISO_S_PUMPED_STORAGE,exogenous,,,3,2,
MISO_S_UPV,exogenous,,,3,2,
MISO_W_BATTERY_STORAGE,exogenous,,,3,2,
MISO_W_BIOMASS,exogenous,,,3,2,
MISO_W_COAL,exogenous,,,3,2,
MISO_W_DGPV,exogenous,,,3,2,
MISO_W_DR,exogenous,,,3,2,
MISO_W_GAS_DUAL_FUEL,exogenous,,,3,2,
MISO_W_GAS_SINGLE_FUEL,exogenous,,,3,2,
MISO_W_GEOTHERMAL,exogenous,,,3,2,
MISO_W_HYDRO,exogenous,,,3,2,
MISO_W_LBW,exogenous,,,3,2,
MISO_W_NUCLEAR,exogenous,,,3,2,
MISO_W_OIL,exogenous,,,3,2,
MISO_W_OTHER,exogenous,,,3,2,
MISO_W_PUMPED_STORAGE,exogenous,,,3,2,
MISO_W_UPV,exogenous,,,3,2,
NYISO_BATTERY_STORAGE,exogenous,,,3,2,
NYISO_BIOMASS,exogenous,,,3,2,
NYISO_COAL,exogenous,,,3,2,
NYISO_DGPV,exogenous,,,3,2,
NYISO_DR,exogenous,,,3,2,
NYISO_GAS_DUAL_FUEL,exogenous,,,3,2,
NYISO_GAS_SINGLE_FUEL,exogenous,,,3,2,
NYISO_GEOTHERMAL,exogenous,,,3,2,
NYISO_HYDRO,exogenous,,,3,2,
NYISO_LBW,exogenous,,,3,2,
NYISO_NUCLEAR,exogenous,,,3,2,
NYISO_OIL,exogenous,,,3,2,
NYISO_OSW,exogenous,,,3,2,
NYISO_OTHER,exogenous,,,3,2,
NYISO_PUMPED_STORAGE,exogenous,,,3,2,
NYISO_UPV,exogenous,,,3,2,
PJM_E_BATTERY_STORAGE,exogenous,,,3,2,
PJM_E_BIOMASS,exogenous,,,3,2,
PJM_E_COAL,exogenous,,,3,2,
PJM_E_DGPV,exogenous,,,3,2,
