project,load_zone
HQ_PROXY_GEN,HQ
IESO_PROXY_GEN,IESO
ISONE_BATTERY_STORAGE,ISONE
ISONE_BIOMASS,ISONE
ISONE_COAL,ISONE
ISONE_DGPV,ISONE
ISONE_DR,ISONE
ISONE_GAS_DUAL_FUEL,ISONE
ISONE_GAS_SINGLE_FUEL,ISONE
ISONE_GEOTHERMAL,ISONE
ISONE_HYDRO,ISONE
ISONE_LBW,ISONE
ISONE_NUCLEAR,ISONE
ISONE_OIL,ISONE
ISONE_OSW,ISONE
ISONE_OTHER,ISONE
ISONE_PUMPED_STORAGE,ISONE
ISONE_UPV,ISONE
MARITIMES_PROXY_GEN,MARITIMES
MB_HYDRO_PROXY_GEN,MB_HYDRO
MISO_C_BATTERY_STORAGE,MISO_C
MISO_C_BIOMASS,MISO_C
MISO_C_COAL,MISO_C
MISO_C_DGPV,MISO_C
MISO_C_DR,MISO_C
MISO_C_GAS_DUAL_FUEL,MISO_C
MISO_C_GAS_SINGLE_FUEL,MISO_C
MISO_C_GEOTHERMAL,MISO_C
MISO_C_HYDRO,MISO_C
MISO_C_LBW,MISO_C
MISO_C_NUCLEAR,MISO_C
MISO_C_OIL,MISO_C
MISO_C_OTHER,MISO_C
MISO_C_PUMPED_STORAGE,MISO_C
MISO_C_UPV,MISO_C
MISO_E_BATTERY_STORAGE,MISO_E
MISO_E_BIOMASS,MISO_E
MISO_E_COAL,MISO_E
MISO_E_DGPV,MISO_E
MISO_E_DR,MISO_E
MISO_E_GAS_DUAL_FUEL,MISO_E
MISO_E_GAS_SINGLE_FUEL,MISO_E
MISO_E_GEOTHERMAL,MISO_E
MISO_E_HYDRO,MISO_E
MISO_E_LBW,MISO_E
MISO_E_NUCLEAR,MISO_E
MISO_E_OIL,MISO_E
MISO_E_OTHER,MISO_E
MISO_E_PUMPED_STORAGE,MISO_E
MISO_E_UPV,MISO_E
MISO_S_BATTERY_STORAGE,MISO_S
MISO_S_BIOMASS,MISO_S
MISO_S_COAL,MISO_S
MISO_S_DGPV,MISO_S
MISO_S_DR,MISO_S
MISO_S_GAS_DUAL_FUEL,MISO_S
MISO_S_GAS_SINGLE_FUEL,MISO_S
MISO_S_GEOTHERMAL,MISO_S
MISO_S_HYDRO,MISO_S
MISO_S_LBW,MISO_S
MISO_S_NUCLEAR,MISO_S
MISO_S_OIL,MISO_S
MISO_S_OTHER,MISO_S
MISO_S_PUMPED_STORAGE,MISO_S
MISO_S_UPV,MISO_S
MISO_W_BATTERY_STORAGE,MISO_W
MISO_W_BIOMASS,MISO_W
MISO_W_COAL,MISO_W
MISO_W_DGPV,MISO_W
MISO_W_DR,MISO_W
