project,specified,new_build,capacity_type
SASK_POWER_PROXY_GEN,,,gen_spec
MARITIMES_PROXY_GEN,,,gen_spec
MB_HYDRO_PROXY_GEN,,,gen_spec
HQ_PROXY_GEN,,,gen_spec
IESO_PROXY_GEN,,,gen_spec
ISONE_BATTERY_STORAGE,,,stor_spec
ISONE_BIOMASS,,,gen_spec
ISONE_COAL,,,gen_spec
ISONE_DGPV,,,gen_spec
ISONE_DR,,,gen_spec
ISONE_GAS_DUAL_FUEL,,,gen_spec
ISONE_GAS_SINGLE_FUEL,,,gen_spec
ISONE_GEOTHERMAL,,,gen_spec
ISONE_HYDRO,,,gen_spec
ISONE_LBW,,,gen_spec
ISONE_NUCLEAR,,,gen_spec
ISONE_OIL,,,gen_spec
ISONE_OSW,,,gen_spec
ISONE_OTHER,,,gen_spec
ISONE_PUMPED_STORAGE,,,stor_spec
ISONE_UPV,,,gen_spec
MISO_C_BATTERY_STORAGE,,,stor_spec
MISO_C_BIOMASS,,,gen_spec
MISO_C_COAL,,,gen_spec
MISO_C_DGPV,,,gen_spec
MISO_C_DR,,,gen_spec
MISO_C_GAS_DUAL_FUEL,,,gen_spec
MISO_C_GAS_SINGLE_FUEL,,,gen_spec
MISO_C_GEOTHERMAL,,,gen_spec
MISO_C_HYDRO,,,gen_spec
MISO_C_LBW,,,gen_spec
MISO_C_NUCLEAR,,,gen_spec
MISO_C_OIL,,,gen_spec
MISO_C_OTHER,,,gen_spec
MISO_C_PUMPED_STORAGE,,,stor_spec
MISO_C_UPV,,,gen_spec
MISO_E_BATTERY_STORAGE,,,stor_spec
MISO_E_BIOMASS,,,gen_spec
MISO_E_COAL,,,gen_spec
MISO_E_DGPV,,,gen_spec
MISO_E_DR,,,gen_spec
MISO_E_GAS_DUAL_FUEL,,,gen_spec
MISO_E_GAS_SINGLE_FUEL,,,gen_spec
MISO_E_GEOTHERMAL,,,gen_spec
MISO_E_HYDRO,,,gen_spec
MISO_E_LBW,,,gen_spec
MISO_E_NUCLEAR,,,gen_spec
MISO_E_OIL,,,gen_spec
MISO_E_OTHER,,,gen_spec
MISO_E_PUMPED_STORAGE,,,stor_spec
MISO_E_UPV,,,gen_spec
MISO_S_BATTERY_STORAGE,,,stor_spec
MISO_S_BIOMASS,,,gen_spec
MISO_S_COAL,,,gen_spec
MISO_S_DGPV,,,gen_spec
MISO_S_DR,,,gen_spec
MISO_S_GAS_DUAL_FUEL,,,gen_spec
MISO_S_GAS_SINGLE_FUEL,,,gen_spec
MISO_S_GEOTHERMAL,,,gen_spec
MISO_S_HYDRO,,,gen_spec
MISO_S_LBW,,,gen_spec
MISO_S_NUCLEAR,,,gen_spec
MISO_S_OIL,,,gen_spec
MISO_S_OTHER,,,gen_spec
MISO_S_PUMPED_STORAGE,,,stor_spec
MISO_S_UPV,,,gen_spec
MISO_W_BATTERY_STORAGE,,,stor_spec
MISO_W_BIOMASS,,,gen_spec
MISO_W_COAL,,,gen_spec
MISO_W_DGPV,,,gen_spec
MISO_W_DR,,,gen_spec
MISO_W_GAS_DUAL_FUEL,,,gen_spec
