project,period,specified_capacity_mw,specified_energy_mwh,shaping_capacity_mw,hyb_gen_specified_capacity_mw,hyb_stor_specified_capacity_mw,specified_stor_capacity_mwh,fuel_production_capacity_fuelunitperhour,fuel_release_capacity_fuelunitperhour,fuel_storage_capacity_fuelunit
HQ_PROXY_GEN,2035,3836.56,,,,,,,,
IESO_PROXY_GEN,2035,2759.56,,,,,,,,
ISONE_BATTERY_STORAGE,2035,774.1,,,,,3096.4,,,
ISONE_BIOMASS,2035,1012.9,,,,,,,,
ISONE_COAL,2035,438.5,,,,,,,,
ISONE_DGPV,2035,3713.0,,,,,,,,
ISONE_DR,2035,661.0,,,,,,,,
ISONE_GAS_DUAL_FUEL,2035,5754.4,,,,,,,,
ISONE_GAS_SINGLE_FUEL,2035,8633.2,,,,,,,,
ISONE_GEOTHERMAL,2035,0.0,,,,,,,,
ISONE_HYDRO,2035,1927.3,,,,,,,,
ISONE_LBW,2035,1603.2,,,,,,,,
ISONE_NUCLEAR,2035,3326.9,,,,,,,,
ISONE_OIL,2035,5820.6,,,,,,,,
ISONE_OSW,2035,829.3,,,,,,,,
ISONE_OTHER,2035,215.7,,,,,,,,
ISONE_PUMPED_STORAGE,2035,1863.4,,,,,22360.8,,,
ISONE_UPV,2035,3136.7,,,,,,,,
MARITIMES_PROXY_GEN,2035,832.0,,,,,,,,
MB_HYDRO_PROXY_GEN,2035,2377.0,,,,,,,,
MISO_C_BATTERY_STORAGE,2035,137.6,,,,,550.4,,,
MISO_C_BIOMASS,2035,64.3,,,,,,,,
MISO_C_COAL,2035,13020.0,,,,,,,,
MISO_C_DGPV,2035,1774.0,,,,,,,,
MISO_C_DR,2035,2026.0,,,,,,,,
MISO_C_GAS_DUAL_FUEL,2035,1732.8,,,,,,,,
MISO_C_GAS_SINGLE_FUEL,2035,9678.0,,,,,,,,
MISO_C_GEOTHERMAL,2035,0.0,,,,,,,,
MISO_C_HYDRO,2035,488.6,,,,,,,,
MISO_C_LBW,2035,4707.2,,,,,,,,
MISO_C_NUCLEAR,2035,2240.2,,,,,,,,
MISO_C_OIL,2035,528.6,,,,,,,,
MISO_C_OTHER,2035,740.0,,,,,,,,
MISO_C_PUMPED_STORAGE,2035,440.0,,,,,5280.0,,,
MISO_C_UPV,2035,4756.6,,,,,,,,
MISO_E_BATTERY_STORAGE,2035,1.3,,,,,5.2,,,
MISO_E_BIOMASS,2035,347.0,,,,,,,,
MISO_E_COAL,2035,1638.2,,,,,,,,
MISO_E_DGPV,2035,243.0,,,,,,,,
MISO_E_DR,2035,1273.0,,,,,,,,
MISO_E_GAS_DUAL_FUEL,2035,2257.5,,,,,,,,
MISO_E_GAS_SINGLE_FUEL,2035,8402.5,,,,,,,,
MISO_E_GEOTHERMAL,2035,0.0,,,,,,,,
MISO_E_HYDRO,2035,251.3,,,,,,,,
MISO_E_LBW,2035,3775.3,,,,,,,,
MISO_E_NUCLEAR,2035,1141.0,,,,,,,,
MISO_E_OIL,2035,370.4,,,,,,,,
MISO_E_OTHER,2035,391.7,,,,,,,,
MISO_E_PUMPED_STORAGE,2035,2185.6,,,,,26227.2,,,
MISO_E_UPV,2035,1986.6,,,,,,,,
MISO_S_BATTERY_STORAGE,2035,10.0,,,,,40.0,,,
MISO_S_BIOMASS,2035,723.0,,,,,,,,
MISO_S_COAL,2035,6487.1,,,,,,,,
MISO_S_DGPV,2035,291.0,,,,,,,,
MISO_S_DR,2035,2109.0,,,,,,,,
MISO_S_GAS_DUAL_FUEL,2035,3245.7,,,,,,,,
MISO_S_GAS_SINGLE_FUEL,2035,26143.5,,,,,,,,
MISO_S_GEOTHERMAL,2035,0.0,,,,,,,,
MISO_S_HYDRO,2035,633.3,,,,,,,,
MISO_S_LBW,2035,184.5,,,,,,,,
MISO_S_NUCLEAR,2035,5344.9,,,,,,,,
MISO_S_OIL,2035,7.0,,,,,,,,
MISO_S_OTHER,2035,548.2,,,,,,,,
MISO_S_PUMPED_STORAGE,2035,30.0,,,,,360.0,,,
MISO_S_UPV,2035,3395.2,,,,,,,,
MISO_W_BATTERY_STORAGE,2035,30.6,,,,,122.4,,,
MISO_W_BIOMASS,2035,481.4,,,,,,,,
MISO_W_COAL,2035,12115.0,,,,,,,,
MISO_W_DGPV,2035,741.0,,,,,,,,
MISO_W_DR,2035,2367.0,,,,,,,,
MISO_W_GAS_DUAL_FUEL,2035,5396.5,,,,,,,,
MISO_W_GAS_SINGLE_FUEL,2035,10932.2,,,,,,,,
MISO_W_GEOTHERMAL,2035,0.0,,,,,,,,
MISO_W_HYDRO,2035,799.1,,,,,,,,
MISO_W_LBW,2035,22808.0,,,,,,,,
MISO_W_NUCLEAR,2035,2843.6,,,,,,,,
MISO_W_OIL,2035,1312.0,,,,,,,,
MISO_W_OTHER,2035,92.9,,,,,,,,
MISO_W_PUMPED_STORAGE,2035,0.0,,,,,0.0,,,
MISO_W_UPV,2035,4578.3,,,,,,,,
NYISO_BATTERY_STORAGE,2035,254.3,,,,,1017.2,,,
NYISO_BIOMASS,2035,304.0,,,,,,,,
NYISO_COAL,2035,0.0,,,,,,,,
NYISO_DGPV,2035,5710.0,,,,,,,,
NYISO_DR,2035,860.0,,,,,,,,
NYISO_GAS_DUAL_FUEL,2035,16045.2,,,,,,,,
NYISO_GAS_SINGLE_FUEL,2035,7389.0,,,,,,,,
NYISO_GEOTHERMAL,2035,0.0,,,,,,,,
NYISO_HYDRO,2035,4480.9,,,,,,,,
NYISO_LBW,2035,3388.7,,,,,,,,
NYISO_NUCLEAR,2035,3304.6,,,,,,,,
NYISO_OIL,2035,3129.8,,,,,,,,
NYISO_OSW,2035,130.0,,,,,,,,
NYISO_OTHER,2035,162.6,,,,,,,,
NYISO_PUMPED_STORAGE,2035,1425.1,,,,,17101.2,,,
NYISO_UPV,2035,2337.5,,,,,,,,
PJM_E_BATTERY_STORAGE,2035,113.9,,,,,455.6,,,
PJM_E_BIOMASS,2035,411.2,,,,,,,,
PJM_E_COAL,2035,5382.6,,,,,,,,
PJM_E_DGPV,2035,5506.0,,,,,,,,
PJM_E_DR,2035,1759.0,,,,,,,,
PJM_E_GAS_DUAL_FUEL,2035,11296.2,,,,,,,,
PJM_E_GAS_SINGLE_FUEL,2035,20715.9,,,,,,,,
PJM_E_GEOTHERMAL,2035,0.0,,,,,,,,
PJM_E_HYDRO,2035,829.9,,,,,,,,
PJM_E_LBW,2035,1322.8,,,,,,,,
PJM_E_NUCLEAR,2035,10741.9,,,,,,,,
PJM_E_OIL,2035,1470.8,,,,,,,,
PJM_E_OSW,2035,0.0,,,,,,,,
PJM_E_OTHER,2035,298.8,,,,,,,,
PJM_E_PUMPED_STORAGE,2035,1926.9,,,,,23122.8,,,
PJM_E_UPV,2035,1660.1,,,,,,,,
PJM_S_BATTERY_STORAGE,2035,97.7,,,,,390.8,,,
PJM_S_BIOMASS,2035,733.4,,,,,,,,
PJM_S_COAL,2035,920.1,,,,,,,,
PJM_S_DGPV,2035,2498.0,,,,,,,,
PJM_S_DR,2035,1824.0,,,,,,,,
PJM_S_GAS_DUAL_FUEL,2035,7524.4,,,,,,,,
PJM_S_GAS_SINGLE_FUEL,2035,10677.9,,,,,,,,
PJM_S_GEOTHERMAL,2035,0.0,,,,,,,,
PJM_S_HYDRO,2035,1152.1,,,,,,,,
PJM_S_LBW,2035,587.0,,,,,,,,
PJM_S_NUCLEAR,2035,5313.2,,,,,,,,
PJM_S_OIL,2035,1026.0,,,,,,,,
PJM_S_OSW,2035,12.0,,,,,,,,
PJM_S_OTHER,2035,124.4,,,,,,,,
PJM_S_PUMPED_STORAGE,2035,3015.1,,,,,36181.2,,,
PJM_S_UPV,2035,7285.1,,,,,,,,
PJM_W_BATTERY_STORAGE,2035,176.5,,,,,706.0,,,
PJM_W_BIOMASS,2035,104.9,,,,,,,,
PJM_W_COAL,2035,23278.6,,,,,,,,
PJM_W_DGPV,2035,599.0,,,,,,,,
PJM_W_DR,2035,3814.0,,,,,,,,
PJM_W_GAS_DUAL_FUEL,2035,6056.6,,,,,,,,
PJM_W_GAS_SINGLE_FUEL,2035,37803.9,,,,,,,,
PJM_W_GEOTHERMAL,2035,0.0,,,,,,,,
PJM_W_HYDRO,2035,1283.5,,,,,,,,
PJM_W_LBW,2035,9670.9,,,,,,,,
PJM_W_NUCLEAR,2035,16636.4,,,,,,,,
