weather_iteration,hydro_iteration,stage_id,balancing_type_project,horizon,average_power_fraction,min_power_fraction,max_power_fraction
0,1,1,day,1,0.011918951132300357,0,1
0,1,1,day,2,0.47720500595947557,0,1
0,1,1,day,3,0.011918951132300357,0,1
0,1,1,day,4,0.1717818831942789,0,1
0,1,1,day,5,0.20182757250695274,0,1
0,1,1,day,6,0.21677592371871277,0,1
0,1,1,day,7,0.09699046483909415,0,1
0,1,1,day,8,0.011918951132300357,0,1
0,1,1,day,9,0.052443384982121574,0,1
0,1,1,day,10,0.247963845848232,0,1
0,1,1,day,11,0.023142630115216528,0,1
0,1,1,day,12,0.11625943583631308,0,1
0,1,1,day,13,0.05591974572904251,0,1
0,1,1,day,14,0.19686134286849422,0,1
0,1,1,day,15,0.20763806118394915,0,1
0,1,1,day,16,0.43345252284465635,0,1
0,1,1,day,17,0.14282876440206593,0,1
0,1,1,day,18,0.19586809694080257,0,1
0,1,1,day,19,0.12023241954707986,0,1
0,1,1,day,20,0.011918951132300357,0,1
0,1,1,day,21,0.011918951132300357,0,1
0,1,1,day,22,0.011918951132300357,0,1
0,1,1,day,23,0.011918951132300357,0,1
0,1,1,day,24,0.011918951132300357,0,1
0,1,1,day,25,0.011918951132300357,0,1
0,1,1,day,26,0.011918951132300357,0,1
0,1,1,day,27,0.011918951132300357,0,1
0,1,1,day,28,0.011918951132300357,0,1
0,1,1,day,29,0.15886968613428684,0,1
0,1,1,day,30,0.11203814064362336,0,1
0,1,1,day,31,0.09113031386571314,0,1
0,1,1,day,32,0.011918951132300357,0,1
0,1,1,day,33,0.07325188716726262,0,1
0,1,1,day,34,0.21041914978148588,0,1
0,1,1,day,35,0.011918951132300357,0,1
0,1,1,day,36,0.07047079856972586,0,1
0,1,1,day,37,0.33288637266587207,0,1
0,1,1,day,38,0.21647794994040526,0,1
0,1,1,day,39,0.2656932856575288,0,1
0,1,1,day,40,0.2791021056813667,0,1
0,1,1,day,41,0.189114024632499,0,1
0,1,1,day,42,0.28426698450536353,0,1
0,1,1,day,43,0.12509932459276915,0,1
0,1,1,day,44,0.015842272546682558,0,1
0,1,1,day,45,0.011918951132300357,0,1
0,1,1,day,46,0.011918951132300357,0,1
0,1,1,day,47,0.011918951132300357,0,1
0,1,1,day,48,0.015593961064759635,0,1
0,1,1,day,49,0.02358959078267779,0,1
0,1,1,day,50,0.011918951132300357,0,1
0,1,1,day,51,0.011918951132300357,0,1
0,1,1,day,52,0.011918951132300357,0,1
0,1,1,day,53,0.011918951132300357,0,1
0,1,1,day,54,0.030244338498212158,0,1
0,1,1,day,55,0.011918951132300357,0,1
0,1,1,day,56,0.011918951132300357,0,1
0,1,1,day,57,0.011918951132300357,0,1
0,1,1,day,58,0.16314064362336114,0,1
0,1,1,day,59,0.5103794199443782,0,1
0,1,1,day,60,0.906585220500596,0,1
0,1,1,day,61,0.47531783869686134,0,1
0,1,1,day,62,0.09301748112832738,0,1
0,1,1,day,63,0.13741557409614621,0,1
0,1,1,day,64,0.011918951132300357,0,1
0,1,1,day,65,0.08676003178386969,0,1
0,1,1,day,66,0.014054429876837504,0,1
0,1,1,day,67,0.011918951132300357,0,1
0,1,1,day,68,0.011918951132300357,0,1
0,1,1,day,69,0.011918951132300357,0,1
0,1,1,day,70,0.4879320619785459,0,1
0,1,1,day,71,0.8394914580850219,0,1
0,1,1,day,72,0.7322705601907032,0,1
0,1,1,day,73,0.37256654747715534,0,1
0,1,1,day,74,0.36953714739769566,0,1
0,1,1,day,75,0.1940305919745729,0,1
0,1,1,day,76,0.24558005562177193,0,1
0,1,1,day,77,0.4570421136273341,0,1
0,1,1,day,78,0.37619189511323003,0,1
0,1,1,day,79,0.31073698847834724,0,1
0,1,1,day,80,0.5144020659515296,0,1
0,1,1,day,81,0.6227651966626937,0,1
0,1,1,day,82,0.641388557806913,0,1
0,1,1,day,83,0.5323301549463647,0,1
0,1,1,day,84,0.6538537941994438,0,1
0,1,1,day,85,0.7635081446166071,0,1
0,1,1,day,86,0.8044298768375049,0,1
0,1,1,day,87,0.6593663090981328,0,1
0,1,1,day,88,0.9067838696861342,0,1
0,1,1,day,89,0.7611740166865316,0,1
0,1,1,day,90,0.8687425506555423,0,1
0,1,1,day,91,0.8010031783869686,0,1
0,1,1,day,92,0.5730532379817243,0,1
0,1,1,day,93,0.727751291219706,0,1
0,1,1,day,94,0.8324394119984108,0,1
0,1,1,day,95,0.6966626936829559,0,1
0,1,1,day,96,0.6245033770361542,0,1
0,1,1,day,97,0.8549364322606277,0,1
0,1,1,day,98,0.9196464044497418,0,1
0,1,1,day,99,0.8821017083829956,0,1
0,1,1,day,100,0.947606277314263,0,1
0,1,1,day,101,0.9189511323003575,0,1
0,1,1,day,102,0.9707985697258641,0,1
0,1,1,day,103,0.95992252681764,0,1
0,1,1,day,104,0.9138359157727454,0,1
0,1,1,day,105,0.7972785061581247,0,1
0,1,1,day,106,0.7470699245133094,0,1
0,1,1,day,107,0.2061978545887962,0,1
0,1,1,day,108,0.2967322208978943,0,1
0,1,1,day,109,0.42714541120381405,0,1
0,1,1,day,110,0.3053237981724275,0,1
0,1,1,day,111,0.3194775526420342,0,1
0,1,1,day,112,0.4617600317838697,0,1
0,1,1,day,113,0.3276221692491061,0,1
0,1,1,day,114,0.379668255860151,0,1
0,1,1,day,115,0.3640246324990068,0,1
0,1,1,day,116,0.39978148589590784,0,1
0,1,1,day,117,0.2427989670242352,0,1
0,1,1,day,118,0.26186928883591576,0,1
0,1,1,day,119,0.22953913388955108,0,1
0,1,1,day,120,0.5832836710369488,0,1
0,1,1,day,121,0.8194611378205128,0,1
0,1,1,day,122,0.8144030448717949,0,1
0,1,1,day,123,0.5475761217948718,0,1
0,1,1,day,124,0.12109375,0,1
0,1,1,day,125,0.1867988782051282,0,1
0,1,1,day,126,0.11197916666666667,0,1
0,1,1,day,127,0.02173477564102564,0,1
0,1,1,day,128,0.14192708333333331,0,1
0,1,1,day,129,0.45527844551282054,0,1
0,1,1,day,130,0.0933994391025641,0,1
0,1,1,day,131,0.06440304487179488,0,1
0,1,1,day,132,0.06079727564102565,0,1
0,1,1,day,133,0.14998998397435898,0,1
0,1,1,day,134,0.23332331730769232,0,1
0,1,1,day,135,0.6265024038461539,0,1
0,1,1,day,136,0.7105869391025641,0,1
0,1,1,day,137,0.6000600961538461,0,1
0,1,1,day,138,0.6126302083333333,0,1
0,1,1,day,139,0.5765224358974359,0,1
0,1,1,day,140,0.44826722756410253,0,1
0,1,1,day,141,0.6736278044871795,0,1
0,1,1,day,142,0.8213141025641026,0,1
0,1,1,day,143,0.8282752403846154,0,1
0,1,1,day,144,0.4826722756410256,0,1
0,1,1,day,145,0.8146033653846154,0,1
0,1,1,day,146,0.7554587339743589,0,1
0,1,1,day,147,0.6648137019230769,0,1
0,1,1,day,148,0.6588040865384616,0,1
0,1,1,day,149,0.28490584935897434,0,1
0,1,1,day,150,0.2763421474358974,0,1
0,1,1,day,151,0.3518629807692308,0,1
0,1,1,day,152,0.5368589743589743,0,1
0,1,1,day,153,0.8182592147435896,0,1
0,1,1,day,154,0.8499599358974359,0,1
0,1,1,day,155,0.8110476762820512,0,1
0,1,1,day,156,0.7884114583333334,0,1
0,1,1,day,157,0.7260616987179488,0,1
0,1,1,day,158,0.5657552083333333,0,1
0,1,1,day,159,0.41195913461538464,0,1
0,1,1,day,160,0.350010016025641,0,1
0,1,1,day,161,0.4394030448717948,0,1
0,1,1,day,162,0.3842648237179487,0,1
0,1,1,day,163,0.5287459935897436,0,1
0,1,1,day,164,0.48031850961538464,0,1
0,1,1,day,165,0.37795472756410253,0,1
0,1,1,day,166,0.3167067307692308,0,1
0,1,1,day,167,0.23127003205128205,0,1
0,1,1,day,168,0.2666266025641026,0,1
0,1,1,day,169,0.3626302083333333,0,1
0,1,1,day,170,0.5225360576923077,0,1
0,1,1,day,171,0.3961338141025641,0,1
0,1,1,day,172,0.362880608974359,0,1
0,1,1,day,173,0.435546875,0,1
0,1,1,day,174,0.5288461538461539,0,1
0,1,1,day,175,0.5240885416666667,0,1
0,1,1,day,176,0.5892928685897436,0,1
0,1,1,day,177,0.6738782051282051,0,1
0,1,1,day,178,0.8185596955128205,0,1
0,1,1,day,179,0.4087039262820513,0,1
0,1,1,day,180,0.3740985576923077,0,1
0,1,1,day,181,0.3480068108974359,0,1
0,1,1,day,182,0.7098858173076923,0,1
0,1,1,day,183,0.7327223557692307,0,1
0,1,1,day,184,0.7398838141025641,0,1
0,1,1,day,185,0.8339342948717949,0,1
0,1,1,day,186,0.5835336538461539,0,1
0,1,1,day,187,0.7539563301282051,0,1
0,1,1,day,188,0.6995192307692307,0,1
0,1,1,day,189,0.5641025641025641,0,1
0,1,1,day,190,0.752754407051282,0,1
0,1,1,day,191,0.6118790064102564,0,1
0,1,1,day,192,0.40810296474358976,0,1
0,1,1,day,193,0.5165264423076923,0,1
