weather_iteration,hydro_iteration,stage_id,balancing_type_project,horizon,average_power_fraction,min_power_fraction,max_power_fraction
0,1,1,day,1,0.010068283166109252,0,1
0,1,1,day,2,0.4553023968784838,0,1
0,1,1,day,3,0.5127508361204013,0,1
0,1,1,day,4,0.6562848383500557,0,1
0,1,1,day,5,0.5225752508361204,0,1
0,1,1,day,6,0.6694885730211817,0,1
0,1,1,day,7,0.5418060200668896,0,1
0,1,1,day,8,0.5367196209587514,0,1
0,1,1,day,9,0.3872979375696767,0,1
0,1,1,day,10,0.5218436454849499,0,1
0,1,1,day,11,0.502020624303233,0,1
0,1,1,day,12,0.5288113154960982,0,1
0,1,1,day,13,0.48376532887402457,0,1
0,1,1,day,14,0.36130852842809363,0,1
0,1,1,day,15,0.48728400222965434,0,1
0,1,1,day,16,0.3544802118171683,0,1
0,1,1,day,17,0.3076923076923077,0,1
0,1,1,day,18,0.5292990523968785,0,1
0,1,1,day,19,0.5894300445930881,0,1
0,1,1,day,20,0.40882803790412486,0,1
0,1,1,day,21,0.4821627647714604,0,1
0,1,1,day,22,0.3528776477146042,0,1
0,1,1,day,23,0.4164227982162765,0,1
0,1,1,day,24,0.45140050167224083,0,1
0,1,1,day,25,0.6732511148272018,0,1
0,1,1,day,26,0.6777104236343366,0,1
0,1,1,day,27,0.5890119843924192,0,1
0,1,1,day,28,0.8096084169453734,0,1
0,1,1,day,29,0.7863015607580824,0,1
0,1,1,day,30,0.6383082497212932,0,1
0,1,1,day,31,0.5326435340022296,0,1
0,1,1,day,32,0.5701295986622074,0,1
0,1,1,day,33,0.5560549052396878,0,1
0,1,1,day,34,0.4577410813823858,0,1
0,1,1,day,35,0.5039715719063546,0,1
0,1,1,day,36,0.6619634894091416,0,1
0,1,1,day,37,0.600891861761427,0,1
0,1,1,day,38,0.7818770903010034,0,1
0,1,1,day,39,0.9110925306577481,0,1
0,1,1,day,40,0.6741917502787068,0,1
0,1,1,day,41,0.1136426978818283,0,1
0,1,1,day,42,0.017349498327759196,0,1
0,1,1,day,43,0.008361204013377926,0,1
0,1,1,day,44,0.008361204013377926,0,1
0,1,1,day,45,0.008361204013377926,0,1
0,1,1,day,46,0.06563545150501672,0,1
0,1,1,day,47,0.2506967670011148,0,1
0,1,1,day,48,0.21989966555183946,0,1
0,1,1,day,49,0.008361204013377926,0,1
0,1,1,day,50,0.008361204013377926,0,1
0,1,1,day,51,0.030518394648829432,0,1
0,1,1,day,52,0.5757385730211817,0,1
0,1,1,day,53,0.5382176700111483,0,1
0,1,1,day,54,0.5690147714604236,0,1
0,1,1,day,55,0.36155239687848384,0,1
0,1,1,day,56,0.225891861761427,0,1
0,1,1,day,57,0.27661649944258637,0,1
0,1,1,day,58,0.13921404682274247,0,1
0,1,1,day,59,0.3110716276477146,0,1
0,1,1,day,60,0.43000975473801556,0,1
0,1,1,day,61,0.44854375696767,0,1
0,1,1,day,62,0.45868171683389075,0,1
0,1,1,day,63,0.444223801560758,0,1
0,1,1,day,64,0.14551978818283165,0,1
0,1,1,day,65,0.17311176142697882,0,1
0,1,1,day,66,0.01511984392419175,0,1
0,1,1,day,67,0.13865663322185062,0,1
0,1,1,day,68,0.20032051282051283,0,1
0,1,1,day,69,0.319641861761427,0,1
0,1,1,day,70,0.3670220178372352,0,1
0,1,1,day,71,0.20774108138238573,0,1
0,1,1,day,72,0.31086259754738016,0,1
0,1,1,day,73,0.3646530100334448,0,1
0,1,1,day,74,0.34270484949832775,0,1
0,1,1,day,75,0.38231605351170567,0,1
0,1,1,day,76,0.39834169453734675,0,1
0,1,1,day,77,0.1952341137123746,0,1
0,1,1,day,78,0.14959587513935338,0,1
0,1,1,day,79,0.23299888517279824,0,1
0,1,1,day,80,0.17440078037904125,0,1
0,1,1,day,81,0.38782051282051283,0,1
0,1,1,day,82,0.15914158305462653,0,1
0,1,1,day,83,0.4122073578595318,0,1
0,1,1,day,84,0.3568492196209588,0,1
0,1,1,day,85,0.17408723522853958,0,1
0,1,1,day,86,0.293513099219621,0,1
0,1,1,day,87,0.5054347826086957,0,1
0,1,1,day,88,0.31162904124860646,0,1
0,1,1,day,89,0.33580685618729095,0,1
0,1,1,day,90,0.6298076923076923,0,1
0,1,1,day,91,0.5074554069119286,0,1
0,1,1,day,92,0.33967391304347827,0,1
0,1,1,day,93,0.4182692307692308,0,1
0,1,1,day,94,0.5949345039018952,0,1
0,1,1,day,95,0.6476797658862876,0,1
0,1,1,day,96,0.7582915273132664,0,1
0,1,1,day,97,0.7169035674470456,0,1
0,1,1,day,98,0.6364618171683389,0,1
0,1,1,day,99,0.8539227982162765,0,1
0,1,1,day,100,0.6421056298773691,0,1
0,1,1,day,101,0.6418965997770346,0,1
0,1,1,day,102,0.40314938684503904,0,1
0,1,1,day,103,0.32636566332218503,0,1
0,1,1,day,104,0.3210702341137124,0,1
0,1,1,day,105,0.3629459308807135,0,1
0,1,1,day,106,0.24428651059085843,0,1
0,1,1,day,107,0.2664088628762542,0,1
0,1,1,day,108,0.43088071348940915,0,1
0,1,1,day,109,0.31560061315496096,0,1
0,1,1,day,110,0.24212653288740243,0,1
0,1,1,day,111,0.21686872909698995,0,1
0,1,1,day,112,0.2319885730211817,0,1
0,1,1,day,113,0.3896321070234114,0,1
0,1,1,day,114,0.07998885172798216,0,1
0,1,1,day,115,0.16666666666666669,0,1
0,1,1,day,116,0.21603260869565216,0,1
0,1,1,day,117,0.3242753623188406,0,1
0,1,1,day,118,0.41924470457079155,0,1
0,1,1,day,119,0.14813266443701226,0,1
0,1,1,day,120,0.35789437012263103,0,1
0,1,1,day,121,0.15093778834551744,0,1
0,1,1,day,122,0.2714514278278556,0,1
0,1,1,day,123,0.2365542267016816,0,1
0,1,1,day,124,0.29729162230581707,0,1
0,1,1,day,125,0.33045135685049726,0,1
0,1,1,day,126,0.41799009865852693,0,1
0,1,1,day,127,0.3706718598433758,0,1
0,1,1,day,128,0.5564698819409929,0,1
0,1,1,day,129,0.008872169777840848,0,1
0,1,1,day,130,0.3674187309248341,0,1
0,1,1,day,131,0.5294467314926526,0,1
0,1,1,day,132,0.4695965528663012,0,1
0,1,1,day,133,0.45543804859583026,0,1
0,1,1,day,134,0.3740358908841404,0,1
0,1,1,day,135,0.522792604159272,0,1
0,1,1,day,136,0.4918139446849777,0,1
0,1,1,day,137,0.6149522677265938,0,1
0,1,1,day,138,0.6484816760120173,0,1
0,1,1,day,139,0.4999097996072575,0,1
0,1,1,day,140,0.4450871838550159,0,1
0,1,1,day,141,0.36616184020630665,0,1
0,1,1,day,142,0.5850826294745296,0,1
0,1,1,day,143,0.6753199895899858,0,1
0,1,1,day,144,0.5803508055930144,0,1
0,1,1,day,145,0.5782806326448516,0,1
0,1,1,day,146,0.7729508245203096,0,1
0,1,1,day,147,0.54101751957792,0,1
0,1,1,day,148,1.0,0,1
0,1,1,day,149,0.7838192324981647,0,1
0,1,1,day,150,0.7625999597794952,0,1
0,1,1,day,151,0.8284758203799635,0,1
0,1,1,day,152,0.6599785293491361,0,1
0,1,1,day,153,0.3701912839804094,0,1
0,1,1,day,154,0.5447142569853538,0,1
0,1,1,day,155,0.3388059833912974,0,1
0,1,1,day,156,0.2366651288239046,0,1
0,1,1,day,157,0.3315973454468017,0,1
0,1,1,day,158,0.3683059479026182,0,1
0,1,1,day,159,0.5007600492109672,0,1
0,1,1,day,160,0.38571758109163085,0,1
0,1,1,day,161,0.51314411952587,0,1
0,1,1,day,162,0.5799071971041224,0,1
0,1,1,day,163,0.6814196063122514,0,1
0,1,1,day,164,0.7390147751200683,0,1
0,1,1,day,165,0.021884685452007425,0,1
0,1,1,day,166,0.008872169777840848,0,1
0,1,1,day,167,0.008872169777840848,0,1
0,1,1,day,168,0.02277190242979151,0,1
0,1,1,day,169,0.19304362741618714,0,1
0,1,1,day,170,0.4532939408995187,0,1
0,1,1,day,171,0.5207963659592578,0,1
0,1,1,day,172,0.3572527030543915,0,1
0,1,1,day,173,0.2506757635980783,0,1
0,1,1,day,174,0.2031726879125554,0,1
0,1,1,day,175,0.39163236094352477,0,1
0,1,1,day,176,0.4088961246362401,0,1
0,1,1,day,177,0.48719302292568556,0,1
0,1,1,day,178,0.5251954834741039,0,1
0,1,1,day,179,0.5066378616887868,0,1
0,1,1,day,180,0.6126233231599105,0,1
0,1,1,day,181,0.6132517685191743,0,1
0,1,1,day,182,0.3643504388766642,0,1
0,1,1,day,183,0.2343361842572214,0,1
0,1,1,day,184,0.5205006269666631,0,1
0,1,1,day,185,0.45107589845505847,0,1
0,1,1,day,186,0.4623879149218055,0,1
0,1,1,day,187,0.49547371471833707,0,1
0,1,1,day,188,0.20860689190148293,0,1
0,1,1,day,189,0.4856034258404891,0,1
0,1,1,day,190,0.2317484680720178,0,1
0,1,1,day,191,0.42209347718077833,0,1
0,1,1,day,192,0.3708936640878218,0,1
0,1,1,day,193,0.28324402015756905,0,1
0,1,1,day,194,0.48822810939976696,0,1
0,1,1,day,195,0.3896730901175849,0,1
0,1,1,day,196,0.4998728322331831,0,1
0,1,1,day,197,0.5190958667518383,0,1
0,1,1,day,198,0.3970665649324523,0,1
0,1,1,day,199,0.17411633189012665,0,1
0,1,1,day,200,0.31803031916152,0,1
0,1,1,day,201,0.31108045283554475,0,1
0,1,1,day,202,0.34926775025433476,0,1
0,1,1,day,203,0.34124583008020365,0,1
0,1,1,day,204,0.3083078997799695,0,1
0,1,1,day,205,0.31817818865781744,0,1
0,1,1,day,206,0.2954802209761746,0,1
0,1,1,day,207,0.3768823786878644,0,1
0,1,1,day,208,0.3731856412804307,0,1
0,1,1,day,209,0.2605090851018519,0,1
0,1,1,day,210,0.22690574206827968,0,1
0,1,1,day,211,0.3478260226654356,0,1
0,1,1,day,212,0.3633153524025827,0,1
0,1,1,day,213,0.29755039392433746,0,1
0,1,1,day,214,0.24457614687581272,0,1
0,1,1,day,215,0.3312276717060583,0,1
0,1,1,day,216,0.2921901246835586,0,1
0,1,1,day,217,0.2787340005205,0,1
0,1,1,day,218,0.2629858991648325,0,1
0,1,1,day,219,0.20849598977925993,0,1
0,1,1,day,220,0.4870821208034626,0,1
0,1,1,day,221,0.39240867579908584,0,1
0,1,1,day,222,0.31041504010220666,0,1
0,1,1,day,223,0.2837615633946098,0,1
0,1,1,day,224,0.2517847848203084,0,1
