weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.470060358
1,1,1,2,0.520525838
1,1,1,3,0.556768466
1,1,1,4,0.603514346
1,1,1,5,0.650631621
1,1,1,6,0.696162496
1,1,1,7,0.73887789
1,1,1,8,0.757386948
1,1,1,9,0.743066635
1,1,1,10,0.740698013
1,1,1,11,0.734421716
1,1,1,12,0.718688984
1,1,1,13,0.671823189
1,1,1,14,0.620952463
1,1,1,15,0.56178004
1,1,1,16,0.497241412
1,1,1,17,0.42602635
1,1,1,18,0.367478174
1,1,1,19,0.315551108
1,1,1,20,0.300746937
1,1,1,21,0.325085121
1,1,1,22,0.351655284
1,1,1,23,0.398437677
1,1,1,24,0.458871758
1,1,1,25,0.523413683
1,1,1,26,0.601914322
1,1,1,27,0.691812053
1,1,1,28,0.791376231
1,1,1,29,0.867053003
1,1,1,30,0.916067966
1,1,1,31,0.945971654
1,1,1,32,0.947602899
1,1,1,33,0.958463707
1,1,1,34,0.965614942
1,1,1,35,0.965851227
1,1,1,36,0.954224808
1,1,1,37,0.920549995
1,1,1,38,0.841135704
1,1,1,39,0.813690673
1,1,1,40,0.806480803
1,1,1,41,0.785559744
1,1,1,42,0.754752953
1,1,1,43,0.706878223
1,1,1,44,0.661939854
1,1,1,45,0.622271992
1,1,1,46,0.598406099
1,1,1,47,0.58408606
1,1,1,48,0.581150597
1,1,1,49,0.592013086
1,1,1,50,0.603150939
1,1,1,51,0.615232826
1,1,1,52,0.626507537
1,1,1,53,0.644931927
1,1,1,54,0.663462071
1,1,1,55,0.677872494
1,1,1,56,0.617901108
1,1,1,57,0.552936396
1,1,1,58,0.525756697
1,1,1,59,0.536460826
1,1,1,60,0.558578451
1,1,1,61,0.58794967
1,1,1,62,0.684947966
1,1,1,63,0.780857949
1,1,1,64,0.807998621
1,1,1,65,0.812821053
1,1,1,66,0.808893794
1,1,1,67,0.797862968
1,1,1,68,0.774727636
1,1,1,69,0.739359029
1,1,1,70,0.708850639
1,1,1,71,0.67431383
1,1,1,72,0.643195073
1,1,1,73,0.62039355
1,1,1,74,0.601093348
1,1,1,75,0.58234093
1,1,1,76,0.573241972
1,1,1,77,0.571859702
1,1,1,78,0.563787059
1,1,1,79,0.572188025
1,1,1,80,0.524223713
1,1,1,81,0.46173727
1,1,1,82,0.411428084
1,1,1,83,0.396910882
1,1,1,84,0.417268212
1,1,1,85,0.471837103
1,1,1,86,0.583269721
1,1,1,87,0.686137203
1,1,1,88,0.709978457
1,1,1,89,0.700287211
1,1,1,90,0.684314105
1,1,1,91,0.669102005
1,1,1,92,0.652443886
1,1,1,93,0.641138524
1,1,1,94,0.628500642
1,1,1,95,0.620752954
1,1,1,96,0.622323934
1,1,1,97,0.62363682
1,1,1,98,0.619342667
1,1,1,99,0.611203147
1,1,1,100,0.605500684
1,1,1,101,0.603766917
1,1,1,102,0.622400589
1,1,1,103,0.651343741
1,1,1,104,0.652967261
1,1,1,105,0.634014443
1,1,1,106,0.617364496
1,1,1,107,0.605124872
1,1,1,108,0.590216029
1,1,1,109,0.59941919
1,1,1,110,0.641145655
1,1,1,111,0.660041821
1,1,1,112,0.632285155
1,1,1,113,0.588391671
1,1,1,114,0.537626708
1,1,1,115,0.485004835
1,1,1,116,0.432479015
1,1,1,117,0.386384957
1,1,1,118,0.337480247
1,1,1,119,0.317899502
1,1,1,120,0.320807293
1,1,1,121,0.328667982
1,1,1,122,0.339432774
1,1,1,123,0.353330842
1,1,1,124,0.37871124
1,1,1,125,0.419605693
1,1,1,126,0.459108885
1,1,1,127,0.509160502
1,1,1,128,0.532048377
1,1,1,129,0.562260231
1,1,1,130,0.58420042
1,1,1,131,0.602867434
1,1,1,132,0.628886943
1,1,1,133,0.671732044
1,1,1,134,0.737458277
1,1,1,135,0.818991665
1,1,1,136,0.895867198
1,1,1,137,0.927535117
1,1,1,138,0.937626433
1,1,1,139,0.927211768
1,1,1,140,0.922487675
1,1,1,141,0.92147539
1,1,1,142,0.907108699
1,1,1,143,0.88945569
1,1,1,144,0.873661
1,1,1,145,0.86103098
1,1,1,146,0.849098336
1,1,1,147,0.836704162
1,1,1,148,0.821101442
1,1,1,149,0.799656094
1,1,1,150,0.759790495
1,1,1,151,0.706897314
1,1,1,152,0.65250495
1,1,1,153,0.623899119
1,1,1,154,0.60388807
1,1,1,155,0.53246875
1,1,1,156,0.46049132
1,1,1,157,0.357351672
1,1,1,158,0.237770333
1,1,1,159,0.264387473
1,1,1,160,0.239700158
1,1,1,161,0.206100686
1,1,1,162,0.172830061
1,1,1,163,0.153509496
1,1,1,164,0.148524174
1,1,1,165,0.170607071
1,1,1,166,0.222621918
1,1,1,167,0.304954241
1,1,1,168,0.390583277
1,1,1,169,0.489429225
1,1,1,170,0.577414237
1,1,1,171,0.66725571
1,1,1,172,0.725257758
1,1,1,173,0.754410934
1,1,1,174,0.760938984
1,1,1,175,0.75585522
1,1,1,176,0.736652442
1,1,1,177,0.704995927
1,1,1,178,0.652336807
1,1,1,179,0.604887921
1,1,1,180,0.557300205
1,1,1,181,0.52232679
1,1,1,182,0.500959222
1,1,1,183,0.515759909
1,1,1,184,0.563500283
1,1,1,185,0.631913401
1,1,1,186,0.720529764
1,1,1,187,0.802868755
1,1,1,188,0.848440044
1,1,1,189,0.870934467
1,1,1,190,0.884985365
1,1,1,191,0.890710376
1,1,1,192,0.885762232
1,1,1,193,0.875697869
1,1,1,194,0.871927736
1,1,1,195,0.865797503
1,1,1,196,0.847363935
1,1,1,197,0.831809912
1,1,1,198,0.821134256
1,1,1,199,0.810760908
1,1,1,200,0.777195351
1,1,1,201,0.800059218
1,1,1,202,0.826980452
1,1,1,203,0.823783405
1,1,1,204,0.808057076
1,1,1,205,0.737903666
1,1,1,206,0.585589289
1,1,1,207,0.648683143
1,1,1,208,0.70531503
1,1,1,209,0.709408597
1,1,1,210,0.679910425
1,1,1,211,0.624882289
1,1,1,212,0.566744071
1,1,1,213,0.516176036
1,1,1,214,0.468859215
1,1,1,215,0.445995749
1,1,1,216,0.440942588
1,1,1,217,0.432861463
1,1,1,218,0.421990866
1,1,1,219,0.429177881
1,1,1,220,0.442135743
1,1,1,221,0.457895747
1,1,1,222,0.475590534
1,1,1,223,0.485143791
1,1,1,224,0.480728879
1,1,1,225,0.572629786
1,1,1,226,0.653640744
1,1,1,227,0.71227293
1,1,1,228,0.758578389
1,1,1,229,0.797453512
1,1,1,230,0.789502679
1,1,1,231,0.80403038
1,1,1,232,0.847601963
1,1,1,233,0.873365626
1,1,1,234,0.875716559
1,1,1,235,0.860956269
1,1,1,236,0.847249633
1,1,1,237,0.82764789
1,1,1,238,0.793866981
1,1,1,239,0.762483036
1,1,1,240,0.714738463
1,1,1,241,0.661288725
1,1,1,242,0.618987409
1,1,1,243,0.57351127
1,1,1,244,0.53514326
1,1,1,245,0.495500834
1,1,1,246,0.445642555
1,1,1,247,0.380878934
1,1,1,248,0.252533575
1,1,1,249,0.189171984
1,1,1,250,0.157588469
1,1,1,251,0.141805886
1,1,1,252,0.145376339
1,1,1,253,0.163392609
1,1,1,254,0.198163854
1,1,1,255,0.290362331
1,1,1,256,0.411717554
1,1,1,257,0.503147641
1,1,1,258,0.57702608
1,1,1,259,0.632670521
1,1,1,260,0.683042979
1,1,1,261,0.723041435
1,1,1,262,0.748497751
1,1,1,263,0.764953394
1,1,1,264,0.777132456
1,1,1,265,0.780445573
1,1,1,266,0.776215101
1,1,1,267,0.768500574
1,1,1,268,0.759014698
1,1,1,269,0.75624378
1,1,1,270,0.743916902
1,1,1,271,0.728859466
1,1,1,272,0.69781101
1,1,1,273,0.602313932
1,1,1,274,0.528848347
1,1,1,275,0.494877705
1,1,1,276,0.464154406
1,1,1,277,0.429360645
1,1,1,278,0.497089121
1,1,1,279,0.634619354
1,1,1,280,0.697694001
1,1,1,281,0.701464018
1,1,1,282,0.693010373
1,1,1,283,0.678573799
1,1,1,284,0.663297657
1,1,1,285,0.653936949
1,1,1,286,0.64334012
1,1,1,287,0.634365833
1,1,1,288,0.622602797
1,1,1,289,0.602353087
1,1,1,290,0.565578635
1,1,1,291,0.523832661
1,1,1,292,0.50714083
1,1,1,293,0.509255613
1,1,1,294,0.535770117
1,1,1,295,0.587023554
1,1,1,296,0.593264208
1,1,1,297,0.547371501
1,1,1,298,0.511599507
1,1,1,299,0.47544687
1,1,1,300,0.440421058
1,1,1,301,0.393395591
1,1,1,302,0.322380055
1,1,1,303,0.376391346
1,1,1,304,0.39122607
1,1,1,305,0.347799182
1,1,1,306,0.280675513
1,1,1,307,0.213337739
1,1,1,308,0.152185103
1,1,1,309,0.101863298
1,1,1,310,0.065779809
1,1,1,311,0.044584741
1,1,1,312,0.036285252
1,1,1,313,0.034834893
1,1,1,314,0.034489595
1,1,1,315,0.032727278
1,1,1,316,0.032610814
1,1,1,317,0.033755853
1,1,1,318,0.035508382
1,1,1,319,0.040967454
1,1,1,320,0.028301502
1,1,1,321,0.02159278
1,1,1,322,0.020547563
1,1,1,323,0.023225372
1,1,1,324,0.026840269
1,1,1,325,0.03032035
1,1,1,326,0.034384739
1,1,1,327,0.07193255
1,1,1,328,0.117946742
1,1,1,329,0.169957983
1,1,1,330,0.210354118
1,1,1,331,0.244834333
1,1,1,332,0.276179395
1,1,1,333,0.288749832
1,1,1,334,0.290565922
1,1,1,335,0.255671297
1,1,1,336,0.212206405
1,1,1,337,0.166618801
1,1,1,338,0.125693631
1,1,1,339,0.102478583
1,1,1,340,0.09416333
1,1,1,341,0.107345678
1,1,1,342,0.116349416
1,1,1,343,0.132836739
1,1,1,344,0.154901463
1,1,1,345,0.163587438
1,1,1,346,0.174463959
1,1,1,347,0.200935811
1,1,1,348,0.219087727
1,1,1,349,0.231187084
1,1,1,350,0.251475469
1,1,1,351,0.252568207
1,1,1,352,0.251365829
1,1,1,353,0.251326112
1,1,1,354,0.26655032
1,1,1,355,0.269588946
1,1,1,356,0.25380281
1,1,1,357,0.23807225
1,1,1,358,0.23077114
1,1,1,359,0.249548322
1,1,1,360,0.278460213
1,1,1,361,0.327545096
1,1,1,362,0.399060028
1,1,1,363,0.466697725
1,1,1,364,0.5412263
1,1,1,365,0.617385407
1,1,1,366,0.685668582
1,1,1,367,0.726313969
1,1,1,368,0.694012477
1,1,1,369,0.697311131
1,1,1,370,0.709948799
1,1,1,371,0.723013639
1,1,1,372,0.735566972
1,1,1,373,0.744817636
1,1,1,374,0.702440366
1,1,1,375,0.789175631
1,1,1,376,0.844891188
1,1,1,377,0.856108738
1,1,1,378,0.860791571
1,1,1,379,0.865851609
1,1,1,380,0.863454422
1,1,1,381,0.857144724
1,1,1,382,0.845161438
1,1,1,383,0.834008808
1,1,1,384,0.824848467
1,1,1,385,0.802899292
1,1,1,386,0.770624956
1,1,1,387,0.742706536
1,1,1,388,0.72332163
1,1,1,389,0.701146671
1,1,1,390,0.68069686
1,1,1,391,0.653172499
1,1,1,392,0.584205883
1,1,1,393,0.581013233
1,1,1,394,0.579529636
1,1,1,395,0.572385656
1,1,1,396,0.554305228
1,1,1,397,0.518723546
1,1,1,398,0.428652621
1,1,1,399,0.462089815
1,1,1,400,0.496751179
1,1,1,401,0.462099882
1,1,1,402,0.40129844
1,1,1,403,0.327626792
1,1,1,404,0.260604874
1,1,1,405,0.215930968
1,1,1,406,0.194192633
1,1,1,407,0.194156568
1,1,1,408,0.188746491
1,1,1,409,0.183189069
1,1,1,410,0.196705286
1,1,1,411,0.224884697
1,1,1,412,0.273042958
1,1,1,413,0.340254927
1,1,1,414,0.403677673
1,1,1,415,0.435863681
1,1,1,416,0.390576819
1,1,1,417,0.347112887
1,1,1,418,0.362771247
1,1,1,419,0.389558811
1,1,1,420,0.412612365
1,1,1,421,0.419724775
1,1,1,422,0.460468813
1,1,1,423,0.609292934
1,1,1,424,0.676103861
1,1,1,425,0.687073997
1,1,1,426,0.667391158
1,1,1,427,0.622482147
1,1,1,428,0.567571939
1,1,1,429,0.511858505
1,1,1,430,0.442862916
1,1,1,431,0.374740875
1,1,1,432,0.313181031
1,1,1,433,0.250516944
1,1,1,434,0.20259392
1,1,1,435,0.173829228
1,1,1,436,0.146928284
1,1,1,437,0.115843083
1,1,1,438,0.103178764
1,1,1,439,0.106701766
1,1,1,440,0.08804278
1,1,1,441,0.108728006
1,1,1,442,0.182474436
1,1,1,443,0.307061052
1,1,1,444,0.464249809
1,1,1,445,0.593535336
1,1,1,446,0.667926934
1,1,1,447,0.805538815
1,1,1,448,0.883698912
1,1,1,449,0.900549311
1,1,1,450,0.904743283
1,1,1,451,0.900155997
1,1,1,452,0.901746388
1,1,1,453,0.909823774
1,1,1,454,0.916865808
1,1,1,455,0.915782673
1,1,1,456,0.925145759
1,1,1,457,0.928502631
1,1,1,458,0.941360753
1,1,1,459,0.952375912
1,1,1,460,0.959215841
1,1,1,461,0.95976509
1,1,1,462,0.963845118
1,1,1,463,0.974371871
1,1,1,464,0.985297513
1,1,1,465,0.987716157
1,1,1,466,0.987418946
1,1,1,467,0.987341385
1,1,1,468,0.988777186
1,1,1,469,0.99098041
1,1,1,470,0.984098137
1,1,1,471,0.964075718
1,1,1,472,0.945673781
1,1,1,473,0.937124908
1,1,1,474,0.940199038
1,1,1,475,0.940883793
1,1,1,476,0.930877136
1,1,1,477,0.923935982
1,1,1,478,0.918260667
1,1,1,479,0.903594974
1,1,1,480,0.893926057
1,1,1,481,0.886295236
1,1,1,482,0.875216834
1,1,1,483,0.86783559
1,1,1,484,0.856016036
1,1,1,485,0.835387616
1,1,1,486,0.818725139
1,1,1,487,0.794717415
1,1,1,488,0.723024971
1,1,1,489,0.687867719
1,1,1,490,0.666609495
1,1,1,491,0.642946698
1,1,1,492,0.618253667
1,1,1,493,0.586333683
1,1,1,494,0.538666099
1,1,1,495,0.562024049
1,1,1,496,0.589167402
1,1,1,497,0.576234833
1,1,1,498,0.547002367
1,1,1,499,0.511392539
1,1,1,500,0.466616656
1,1,1,501,0.410763584
1,1,1,502,0.356821803
1,1,1,503,0.301792098
1,1,1,504,0.249555659
1,1,1,505,0.202857833
1,1,1,506,0.162431819
1,1,1,507,0.12451366
1,1,1,508,0.09493232
1,1,1,509,0.071641655
1,1,1,510,0.050582957
1,1,1,511,0.029378806
1,1,1,512,0.008637077
1,1,1,513,0.004799528
1,1,1,514,0.003162679
1,1,1,515,0.002036277
1,1,1,516,0.001277898
1,1,1,517,0.000596732
1,1,1,518,0.000439485
1,1,1,519,0.002223629
1,1,1,520,0.004553381
1,1,1,521,0.006039423
1,1,1,522,0.006612486
1,1,1,523,0.007216223
1,1,1,524,0.007824869
1,1,1,525,0.008774572
1,1,1,526,0.010636055
1,1,1,527,0.013859441
1,1,1,528,0.020996502
1,1,1,529,0.031262152
1,1,1,530,0.045233952
1,1,1,531,0.061649487
1,1,1,532,0.079087072
1,1,1,533,0.098007629
1,1,1,534,0.111568704
1,1,1,535,0.094719324
1,1,1,536,0.056936628
1,1,1,537,0.044972594
1,1,1,538,0.03822815
1,1,1,539,0.031798137
1,1,1,540,0.026307582
1,1,1,541,0.023810843
1,1,1,542,0.025534602
1,1,1,543,0.051164171
1,1,1,544,0.087594316
1,1,1,545,0.110048634
1,1,1,546,0.121842334
1,1,1,547,0.130634615
1,1,1,548,0.140699673
1,1,1,549,0.159121773
1,1,1,550,0.190474289
1,1,1,551,0.226205234
1,1,1,552,0.259314957
1,1,1,553,0.280951332
1,1,1,554,0.286102406
1,1,1,555,0.286044447
1,1,1,556,0.286658415
1,1,1,557,0.28325537
1,1,1,558,0.282571165
1,1,1,559,0.267174358
1,1,1,560,0.193417703
1,1,1,561,0.19778976
1,1,1,562,0.233105743
1,1,1,563,0.282532186
1,1,1,564,0.334301221
1,1,1,565,0.371878499
1,1,1,566,0.37777186
1,1,1,567,0.580864457
1,1,1,568,0.682764729
1,1,1,569,0.686378323
1,1,1,570,0.663909745
1,1,1,571,0.621745301
1,1,1,572,0.576324843
1,1,1,573,0.528188754
1,1,1,574,0.493756468
1,1,1,575,0.464353227
1,1,1,576,0.431943223
1,1,1,577,0.409698926
1,1,1,578,0.402989084
1,1,1,579,0.405652548
1,1,1,580,0.401501657
1,1,1,581,0.395734728
1,1,1,582,0.39156328
1,1,1,583,0.317876358
1,1,1,584,0.17517537
1,1,1,585,0.162651151
1,1,1,586,0.19788444
1,1,1,587,0.248060754
1,1,1,588,0.310933573
1,1,1,589,0.378763342
1,1,1,590,0.425826819
1,1,1,591,0.549736689
1,1,1,592,0.693637283
1,1,1,593,0.723296373
1,1,1,594,0.733746198
1,1,1,595,0.738409535
1,1,1,596,0.73764616
1,1,1,597,0.736562362
1,1,1,598,0.740396879
1,1,1,599,0.740662316
1,1,1,600,0.742191378
1,1,1,601,0.748661377
1,1,1,602,0.75326518
1,1,1,603,0.746098535
1,1,1,604,0.739686605
1,1,1,605,0.745491351
1,1,1,606,0.745331159
1,1,1,607,0.711935218
1,1,1,608,0.696813186
1,1,1,609,0.757064236
1,1,1,610,0.80793654
1,1,1,611,0.849169108
1,1,1,612,0.880331088
1,1,1,613,0.899115638
1,1,1,614,0.879504494
1,1,1,615,0.861494638
1,1,1,616,0.855132477
1,1,1,617,0.84229508
1,1,1,618,0.824786341
1,1,1,619,0.801120785
1,1,1,620,0.775827037
1,1,1,621,0.743947372
1,1,1,622,0.707004806
1,1,1,623,0.664691424
1,1,1,624,0.617095439
1,1,1,625,0.582311592
1,1,1,626,0.545270909
1,1,1,627,0.51071886
1,1,1,628,0.476935337
1,1,1,629,0.444134024
1,1,1,630,0.41626578
1,1,1,631,0.357636804
1,1,1,632,0.242539993
1,1,1,633,0.200804576
1,1,1,634,0.178194171
1,1,1,635,0.160810475
1,1,1,636,0.14715929
1,1,1,637,0.132609957
1,1,1,638,0.116002306
1,1,1,639,0.200133462
1,1,1,640,0.269235866
1,1,1,641,0.288860415
1,1,1,642,0.290236015
1,1,1,643,0.276651402
1,1,1,644,0.258916212
1,1,1,645,0.233452498
1,1,1,646,0.206593983
1,1,1,647,0.182059897
1,1,1,648,0.1631398
1,1,1,649,0.145646774
1,1,1,650,0.129376433
1,1,1,651,0.118421399
1,1,1,652,0.112255077
1,1,1,653,0.106995597
1,1,1,654,0.106091273
1,1,1,655,0.090553722
1,1,1,656,0.034257435
1,1,1,657,0.025918031
1,1,1,658,0.029120299
1,1,1,659,0.032077358
1,1,1,660,0.032172077
1,1,1,661,0.032848367
1,1,1,662,0.039641969
1,1,1,663,0.101152773
1,1,1,664,0.176141905
1,1,1,665,0.218255996
1,1,1,666,0.255758478
1,1,1,667,0.29898212
1,1,1,668,0.332916682
1,1,1,669,0.350570508
1,1,1,670,0.36565342
1,1,1,671,0.381357757
1,1,1,672,0.395042321
1,1,1,673,0.408860003
1,1,1,674,0.424448601
1,1,1,675,0.436947338
1,1,1,676,0.446164745
1,1,1,677,0.452521287
1,1,1,678,0.460389638
1,1,1,679,0.374446729
1,1,1,680,0.251455786
1,1,1,681,0.259748472
