weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.2341
1,1,1,2,0.3425
1,1,1,3,0.6168
1,1,1,4,0.7404
1,1,1,5,0.8776
1,1,1,6,0.8959
1,1,1,7,0.9063
1,1,1,8,0.9066
1,1,1,9,0.908
1,1,1,10,0.9082
1,1,1,11,0.9082
1,1,1,12,0.9082
1,1,1,13,0.9065
1,1,1,14,0.9074
1,1,1,15,0.9083
1,1,1,16,0.91
1,1,1,17,0.9089
1,1,1,18,0.9047
1,1,1,19,0.8776
1,1,1,20,0.7694
1,1,1,21,0.5635
1,1,1,22,0.7113
1,1,1,23,0.7727
1,1,1,24,0.8244
1,1,1,25,0.8673
1,1,1,26,0.8921
1,1,1,27,0.9015
1,1,1,28,0.9019
1,1,1,29,0.9109
1,1,1,30,0.9125
1,1,1,31,0.9119
1,1,1,32,0.9137
1,1,1,33,0.9151
1,1,1,34,0.9132
1,1,1,35,0.9118
1,1,1,36,0.9063
1,1,1,37,0.8983
1,1,1,38,0.8589
1,1,1,39,0.7601
1,1,1,40,0.7222
1,1,1,41,0.7448
1,1,1,42,0.7732
1,1,1,43,0.7498
1,1,1,44,0.7275
1,1,1,45,0.6261
1,1,1,46,0.6566
1,1,1,47,0.6353
1,1,1,48,0.5714
1,1,1,49,0.4645
1,1,1,50,0.3871
1,1,1,51,0.3809
1,1,1,52,0.406
1,1,1,53,0.3295
1,1,1,54,0.3288
1,1,1,55,0.3688
1,1,1,56,0.3767
1,1,1,57,0.4228
1,1,1,58,0.5065
1,1,1,59,0.6134
1,1,1,60,0.6966
1,1,1,61,0.7973
1,1,1,62,0.8489
1,1,1,63,0.8467
1,1,1,64,0.8903
1,1,1,65,0.8911
1,1,1,66,0.8977
1,1,1,67,0.9032
1,1,1,68,0.9098
1,1,1,69,0.911
1,1,1,70,0.9092
1,1,1,71,0.9039
1,1,1,72,0.8904
1,1,1,73,0.837
1,1,1,74,0.7072
1,1,1,75,0.7531
1,1,1,76,0.7585
1,1,1,77,0.7923
1,1,1,78,0.8009
1,1,1,79,0.8349
1,1,1,80,0.8746
1,1,1,81,0.8905
1,1,1,82,0.8957
1,1,1,83,0.869
1,1,1,84,0.7436
1,1,1,85,0.7413
1,1,1,86,0.6659
1,1,1,87,0.7932
1,1,1,88,0.8192
1,1,1,89,0.8652
1,1,1,90,0.89
1,1,1,91,0.8945
1,1,1,92,0.9112
1,1,1,93,0.9104
1,1,1,94,0.8984
1,1,1,95,0.8719
1,1,1,96,0.8707
1,1,1,97,0.8638
1,1,1,98,0.8959
1,1,1,99,0.898
1,1,1,100,0.9127
1,1,1,101,0.9174
1,1,1,102,0.9168
1,1,1,103,0.916
1,1,1,104,0.9169
1,1,1,105,0.9184
1,1,1,106,0.9204
1,1,1,107,0.9208
1,1,1,108,0.9204
1,1,1,109,0.9186
1,1,1,110,0.9178
1,1,1,111,0.9186
1,1,1,112,0.9188
1,1,1,113,0.9185
1,1,1,114,0.9197
1,1,1,115,0.9145
1,1,1,116,0.9056
1,1,1,117,0.9218
1,1,1,118,0.9222
1,1,1,119,0.922
1,1,1,120,0.9192
1,1,1,121,0.9193
1,1,1,122,0.9195
1,1,1,123,0.9195
1,1,1,124,0.9198
1,1,1,125,0.9207
1,1,1,126,0.9216
1,1,1,127,0.9217
1,1,1,128,0.9217
1,1,1,129,0.9217
1,1,1,130,0.9208
1,1,1,131,0.9208
1,1,1,132,0.9199
1,1,1,133,0.9199
1,1,1,134,0.9198
1,1,1,135,0.9174
1,1,1,136,0.9174
1,1,1,137,0.9144
1,1,1,138,0.9145
1,1,1,139,0.9137
1,1,1,140,0.914
1,1,1,141,0.9142
1,1,1,142,0.9136
1,1,1,143,0.9139
1,1,1,144,0.9133
1,1,1,145,0.909
1,1,1,146,0.9004
1,1,1,147,0.8963
1,1,1,148,0.8788
1,1,1,149,0.8597
1,1,1,150,0.7524
1,1,1,151,0.6717
1,1,1,152,0.5076
1,1,1,153,0.3566
1,1,1,154,0.1979
1,1,1,155,0.0935
1,1,1,156,0.0413
1,1,1,157,0.0246
