weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.918616427
1,1,1,2,0.912805365
1,1,1,3,0.91821335
1,1,1,4,0.929059993
1,1,1,5,0.921157901
1,1,1,6,0.882907959
1,1,1,7,0.816757634
1,1,1,8,0.750096001
1,1,1,9,0.697328144
1,1,1,10,0.692102096
1,1,1,11,0.71169336
1,1,1,12,0.743461004
1,1,1,13,0.776648549
1,1,1,14,0.814708163
1,1,1,15,0.840984302
1,1,1,16,0.862256783
1,1,1,17,0.911831583
1,1,1,18,0.899679809
1,1,1,19,0.850734025
1,1,1,20,0.773880621
1,1,1,21,0.658182779
1,1,1,22,0.54548606
1,1,1,23,0.441164709
1,1,1,24,0.360569736
1,1,1,25,0.300850532
1,1,1,26,0.262954012
1,1,1,27,0.249161636
1,1,1,28,0.259458858
1,1,1,29,0.287839022
1,1,1,30,0.325707775
1,1,1,31,0.377873513
1,1,1,32,0.384949041
1,1,1,33,0.296309088
1,1,1,34,0.253213273
1,1,1,35,0.272542733
1,1,1,36,0.319920995
1,1,1,37,0.379316504
1,1,1,38,0.43548737
1,1,1,39,0.578251676
1,1,1,40,0.836571604
1,1,1,41,0.928335614
1,1,1,42,0.950319777
1,1,1,43,0.960762338
1,1,1,44,0.967048004
1,1,1,45,0.974530797
1,1,1,46,0.977779811
1,1,1,47,0.979784071
1,1,1,48,0.978813021
1,1,1,49,0.975795225
1,1,1,50,0.972329525
1,1,1,51,0.973077591
1,1,1,52,0.975177301
1,1,1,53,0.97696085
1,1,1,54,0.982385817
1,1,1,55,0.98638049
1,1,1,56,0.985886727
1,1,1,57,0.977329119
1,1,1,58,0.912646293
1,1,1,59,0.879996805
1,1,1,60,0.862079397
1,1,1,61,0.846905196
1,1,1,62,0.889681661
1,1,1,63,0.963638619
1,1,1,64,0.992530335
1,1,1,65,0.994273542
1,1,1,66,0.99372451
1,1,1,67,0.993370362
1,1,1,68,0.993545167
1,1,1,69,0.994190423
1,1,1,70,0.992612467
1,1,1,71,0.9907437
1,1,1,72,0.990994801
1,1,1,73,0.988584397
1,1,1,74,0.9859787
1,1,1,75,0.981028639
1,1,1,76,0.979489303
1,1,1,77,0.979926046
1,1,1,78,0.978866485
1,1,1,79,0.980319053
1,1,1,80,0.978884352
1,1,1,81,0.974820346
1,1,1,82,0.937728909
1,1,1,83,0.925704808
1,1,1,84,0.935154572
1,1,1,85,0.945998059
1,1,1,86,0.944609731
1,1,1,87,0.953074399
1,1,1,88,0.958560966
1,1,1,89,0.954093485
1,1,1,90,0.952519477
1,1,1,91,0.944735934
1,1,1,92,0.930699873
1,1,1,93,0.905058746
1,1,1,94,0.897110025
1,1,1,95,0.842555141
1,1,1,96,0.834143602
1,1,1,97,0.82932614
1,1,1,98,0.78279534
1,1,1,99,0.752379975
1,1,1,100,0.71880233
1,1,1,101,0.667469007
1,1,1,102,0.628839763
1,1,1,103,0.578649394
1,1,1,104,0.495500697
1,1,1,105,0.412976515
1,1,1,106,0.299002946
1,1,1,107,0.199493716
1,1,1,108,0.136867653
1,1,1,109,0.088007526
1,1,1,110,0.057888037
1,1,1,111,0.050728497
1,1,1,112,0.056345543
