weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.900499731
1,1,1,2,0.905697015
1,1,1,3,0.901530673
1,1,1,4,0.88920807
1,1,1,5,0.867573019
1,1,1,6,0.836333478
1,1,1,7,0.79923151
1,1,1,8,0.755836193
1,1,1,9,0.670255546
1,1,1,10,0.486904373
1,1,1,11,0.369056631
1,1,1,12,0.292533236
1,1,1,13,0.249093781
1,1,1,14,0.22436209
1,1,1,15,0.210165426
1,1,1,16,0.300742594
1,1,1,17,0.452123214
1,1,1,18,0.508714277
1,1,1,19,0.507193138
1,1,1,20,0.479300392
1,1,1,21,0.445968526
1,1,1,22,0.421201651
1,1,1,23,0.418832988
1,1,1,24,0.426210176
1,1,1,25,0.448732841
1,1,1,26,0.482150069
1,1,1,27,0.520660068
1,1,1,28,0.561071618
1,1,1,29,0.601169986
1,1,1,30,0.638682307
1,1,1,31,0.676449335
1,1,1,32,0.7103054
1,1,1,33,0.669481991
1,1,1,34,0.567587798
1,1,1,35,0.520236495
1,1,1,36,0.535348208
1,1,1,37,0.586580076
1,1,1,38,0.657790418
1,1,1,39,0.739271972
1,1,1,40,0.903975727
1,1,1,41,0.982059427
1,1,1,42,0.98726502
1,1,1,43,0.9846707
1,1,1,44,0.978613375
1,1,1,45,0.968745891
1,1,1,46,0.954892181
1,1,1,47,0.940492141
1,1,1,48,0.925419959
1,1,1,49,0.917836287
1,1,1,50,0.915558311
1,1,1,51,0.913786922
1,1,1,52,0.913282448
1,1,1,53,0.914206089
1,1,1,54,0.916622231
1,1,1,55,0.918084893
1,1,1,56,0.923646575
1,1,1,57,0.908448109
1,1,1,58,0.829030602
1,1,1,59,0.751890443
1,1,1,60,0.734413151
1,1,1,61,0.747999692
1,1,1,62,0.788312087
1,1,1,63,0.851675598
1,1,1,64,0.929612702
1,1,1,65,0.94982196
1,1,1,66,0.945599566
1,1,1,67,0.932125935
1,1,1,68,0.910463321
1,1,1,69,0.883675037
1,1,1,70,0.848295473
1,1,1,71,0.811378882
1,1,1,72,0.775064206
1,1,1,73,0.743967624
1,1,1,74,0.712966965
1,1,1,75,0.69429519
1,1,1,76,0.674323997
1,1,1,77,0.654923548
1,1,1,78,0.644798332
1,1,1,79,0.639686798
1,1,1,80,0.634422352
1,1,1,81,0.628875657
1,1,1,82,0.572553289
1,1,1,83,0.494680514
1,1,1,84,0.443482498
1,1,1,85,0.415909856
1,1,1,86,0.406647592
1,1,1,87,0.432934382
1,1,1,88,0.518743845
1,1,1,89,0.62728478
1,1,1,90,0.654200312
1,1,1,91,0.648729349
1,1,1,92,0.629187998
1,1,1,93,0.602959889
1,1,1,94,0.576889095
1,1,1,95,0.54647757
1,1,1,96,0.514889842
1,1,1,97,0.490862473
1,1,1,98,0.477361513
1,1,1,99,0.458729141
1,1,1,100,0.440124849
1,1,1,101,0.427474081
1,1,1,102,0.417511194
1,1,1,103,0.416772084
1,1,1,104,0.414755282
1,1,1,105,0.381289837
1,1,1,106,0.278856504
1,1,1,107,0.195299058
1,1,1,108,0.154313901
1,1,1,109,0.146978062
1,1,1,110,0.153309682
1,1,1,111,0.175401211
1,1,1,112,0.276422958
1,1,1,113,0.407
1,1,1,114,0.477729434
1,1,1,115,0.514183589
1,1,1,116,0.52357156
1,1,1,117,0.508951679
1,1,1,118,0.484252985
1,1,1,119,0.461139571
1,1,1,120,0.44106223
1,1,1,121,0.427155847
1,1,1,122,0.42086345
1,1,1,123,0.42477937
1,1,1,124,0.431927393
1,1,1,125,0.435383928
1,1,1,126,0.449103752
1,1,1,127,0.461782387
1,1,1,128,0.469051066
1,1,1,129,0.408363481
1,1,1,130,0.326862603
1,1,1,131,0.302425649
1,1,1,132,0.303681255
1,1,1,133,0.322993606
1,1,1,134,0.351117557
1,1,1,135,0.380106801
1,1,1,136,0.498845867
1,1,1,137,0.682
1,1,1,138,0.769329988
1,1,1,139,0.813168595
1,1,1,140,0.832598096
1,1,1,141,0.837343807
1,1,1,142,0.838067309
1,1,1,143,0.835375879
1,1,1,144,0.833425703
1,1,1,145,0.834378274
1,1,1,146,0.837077953
1,1,1,147,0.843882407
1,1,1,148,0.854269186
1,1,1,149,0.860695638
1,1,1,150,0.861374341
1,1,1,151,0.857337089
1,1,1,152,0.848048013
1,1,1,153,0.812683193
1,1,1,154,0.718218812
1,1,1,155,0.710848269
1,1,1,156,0.722139708
1,1,1,157,0.732285091
1,1,1,158,0.729118606
1,1,1,159,0.706743771
1,1,1,160,0.738137283
1,1,1,161,0.812
1,1,1,162,0.826553695
1,1,1,163,0.811518855
1,1,1,164,0.774907044
1,1,1,165,0.727303639
1,1,1,166,0.664594114
1,1,1,167,0.609296474
1,1,1,168,0.552269486
1,1,1,169,0.502654145
1,1,1,170,0.462395659
1,1,1,171,0.437146372
1,1,1,172,0.418105879
1,1,1,173,0.395619294
1,1,1,174,0.37651139
1,1,1,175,0.360059862
