weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.6319
1,1,1,2,0.9034
1,1,1,3,0.9193
1,1,1,4,0.9247
1,1,1,5,0.9251
1,1,1,6,0.9257
1,1,1,7,0.9258
1,1,1,8,0.9353
1,1,1,9,0.9353
1,1,1,10,0.9353
1,1,1,11,0.9353
1,1,1,12,0.9353
1,1,1,13,0.9353
1,1,1,14,0.9353
1,1,1,15,0.9353
1,1,1,16,0.9149
1,1,1,17,0.7919
1,1,1,18,0.858
1,1,1,19,0.6194
1,1,1,20,0.7506
1,1,1,21,0.7702
1,1,1,22,0.7701
1,1,1,23,0.8349
1,1,1,24,0.8598
1,1,1,25,0.9124
1,1,1,26,0.906
1,1,1,27,0.9179
1,1,1,28,0.9202
1,1,1,29,0.925
1,1,1,30,0.9249
1,1,1,31,0.9233
1,1,1,32,0.925
1,1,1,33,0.9255
1,1,1,34,0.924
1,1,1,35,0.9248
1,1,1,36,0.9136
1,1,1,37,0.8902
1,1,1,38,0.8546
1,1,1,39,0.8252
1,1,1,40,0.7916
1,1,1,41,0.7029
1,1,1,42,0.6195
1,1,1,43,0.5175
1,1,1,44,0.5294
1,1,1,45,0.4783
1,1,1,46,0.3555
1,1,1,47,0.305
1,1,1,48,0.2139
1,1,1,49,0.2215
1,1,1,50,0.2086
1,1,1,51,0.2292
1,1,1,52,0.1695
1,1,1,53,0.0991
1,1,1,54,0.1676
1,1,1,55,0.181
1,1,1,56,0.2689
1,1,1,57,0.3779
1,1,1,58,0.715
1,1,1,59,0.8677
1,1,1,60,0.868
1,1,1,61,0.8744
1,1,1,62,0.8912
1,1,1,63,0.8913
1,1,1,64,0.8793
1,1,1,65,0.9003
1,1,1,66,0.9008
1,1,1,67,0.9063
1,1,1,68,0.9039
1,1,1,69,0.9044
1,1,1,70,0.9045
1,1,1,71,0.8794
1,1,1,72,0.9048
1,1,1,73,0.849
1,1,1,74,0.8534
1,1,1,75,0.7548
1,1,1,76,0.7884
1,1,1,77,0.8019
1,1,1,78,0.8451
1,1,1,79,0.907
1,1,1,80,0.9135
1,1,1,81,0.8937
1,1,1,82,0.8757
1,1,1,83,0.7968
1,1,1,84,0.6449
1,1,1,85,0.6089
1,1,1,86,0.5831
1,1,1,87,0.703
1,1,1,88,0.7691
1,1,1,89,0.7778
1,1,1,90,0.857
1,1,1,91,0.8754
1,1,1,92,0.8209
1,1,1,93,0.8702
1,1,1,94,0.9179
1,1,1,95,0.8943
1,1,1,96,0.7895
1,1,1,97,0.9061
1,1,1,98,0.9331
1,1,1,99,0.9333
1,1,1,100,0.9352
1,1,1,101,0.9351
1,1,1,102,0.9348
1,1,1,103,0.935
1,1,1,104,0.935
1,1,1,105,0.9351
1,1,1,106,0.9345
1,1,1,107,0.9348
1,1,1,108,0.9338
1,1,1,109,0.9351
1,1,1,110,0.9349
1,1,1,111,0.935
1,1,1,112,0.9189
1,1,1,113,0.9218
1,1,1,114,0.9252
1,1,1,115,0.9273
1,1,1,116,0.9349
1,1,1,117,0.935
1,1,1,118,0.9352
1,1,1,119,0.9351
1,1,1,120,0.9347
1,1,1,121,0.9339
1,1,1,122,0.9327
1,1,1,123,0.9352
1,1,1,124,0.9353
1,1,1,125,0.9353
1,1,1,126,0.9353
1,1,1,127,0.9353
1,1,1,128,0.9353
1,1,1,129,0.9353
1,1,1,130,0.9353
1,1,1,131,0.9353
1,1,1,132,0.9353
1,1,1,133,0.9258
1,1,1,134,0.9254
1,1,1,135,0.9235
1,1,1,136,0.919
1,1,1,137,0.932
1,1,1,138,0.9351
1,1,1,139,0.9328
1,1,1,140,0.9335
1,1,1,141,0.9341
1,1,1,142,0.9344
1,1,1,143,0.9335
1,1,1,144,0.9311
1,1,1,145,0.9304
1,1,1,146,0.8166
1,1,1,147,0.6938
1,1,1,148,0.5132
1,1,1,149,0.3807
1,1,1,150,0.2303
1,1,1,151,0.1843
1,1,1,152,0.1271
1,1,1,153,0.1031
1,1,1,154,0.062
1,1,1,155,0.0764
1,1,1,156,0.033
1,1,1,157,0.014
1,1,1,158,0.0097
1,1,1,159,0.0107
1,1,1,160,0.0314
1,1,1,161,0.0904
1,1,1,162,0.129
1,1,1,163,0.1982
1,1,1,164,0.3494
1,1,1,165,0.6466
1,1,1,166,0.8789
1,1,1,167,0.914
1,1,1,168,0.9248
1,1,1,169,0.9258
1,1,1,170,0.9163
1,1,1,171,0.9164
1,1,1,172,0.9164
1,1,1,173,0.9164
1,1,1,174,0.9164
1,1,1,175,0.9164
1,1,1,176,0.9164
1,1,1,177,0.9164
1,1,1,178,0.9156
1,1,1,179,0.9017
1,1,1,180,0.9005
1,1,1,181,0.8785
1,1,1,182,0.8929
1,1,1,183,0.894
1,1,1,184,0.8949
1,1,1,185,0.8973
1,1,1,186,0.8974
1,1,1,187,0.8975
1,1,1,188,0.8975
1,1,1,189,0.8975
1,1,1,190,0.8975
1,1,1,191,0.8974
1,1,1,192,0.8961
1,1,1,193,0.8959
1,1,1,194,0.8928
1,1,1,195,0.8955
1,1,1,196,0.8957
1,1,1,197,0.8939
1,1,1,198,0.786
1,1,1,199,0.8694
1,1,1,200,0.8315
1,1,1,201,0.6624
1,1,1,202,0.6492
1,1,1,203,0.724
1,1,1,204,0.733
1,1,1,205,0.8204
1,1,1,206,0.7241
1,1,1,207,0.647
1,1,1,208,0.7683
1,1,1,209,0.7471
1,1,1,210,0.7278
1,1,1,211,0.6209
1,1,1,212,0.8022
1,1,1,213,0.8308
1,1,1,214,0.779
1,1,1,215,0.7586
1,1,1,216,0.7974
1,1,1,217,0.8372
1,1,1,218,0.8285
1,1,1,219,0.7926
1,1,1,220,0.701
1,1,1,221,0.7154
1,1,1,222,0.701
1,1,1,223,0.8094
1,1,1,224,0.8553
1,1,1,225,0.8358
1,1,1,226,0.8705
1,1,1,227,0.878
1,1,1,228,0.8916
1,1,1,229,0.8924
1,1,1,230,0.8922
1,1,1,231,0.8958
1,1,1,232,0.8964
1,1,1,233,0.8961
1,1,1,234,0.892
1,1,1,235,0.896
1,1,1,236,0.8921
1,1,1,237,0.8791
1,1,1,238,0.8471
1,1,1,239,0.836
1,1,1,240,0.5559
1,1,1,241,0.5027
1,1,1,242,0.548
1,1,1,243,0.5454
1,1,1,244,0.5057
1,1,1,245,0.3584
1,1,1,246,0.3034
1,1,1,247,0.242
1,1,1,248,0.1368
1,1,1,249,0.1235
1,1,1,250,0.0512
1,1,1,251,0.0339
1,1,1,252,0.0224
1,1,1,253,0.0217
1,1,1,254,0.0304
1,1,1,255,0.072
1,1,1,256,0.1197
1,1,1,257,0.1522
1,1,1,258,0.2342
1,1,1,259,0.3981
1,1,1,260,0.6187
1,1,1,261,0.7904
1,1,1,262,0.8145
1,1,1,263,0.8438
1,1,1,264,0.8626
1,1,1,265,0.8811
1,1,1,266,0.8896
1,1,1,267,0.8842
1,1,1,268,0.8448
1,1,1,269,0.8928
1,1,1,270,0.8995
1,1,1,271,0.9036
1,1,1,272,0.9027
1,1,1,273,0.9054
1,1,1,274,0.9006
1,1,1,275,0.8993
1,1,1,276,0.9021
1,1,1,277,0.8924
1,1,1,278,0.8768
1,1,1,279,0.8793
1,1,1,280,0.7343
1,1,1,281,0.795
1,1,1,282,0.7933
1,1,1,283,0.816
1,1,1,284,0.7794
1,1,1,285,0.7889
1,1,1,286,0.7565
1,1,1,287,0.6709
1,1,1,288,0.5929
1,1,1,289,0.61
1,1,1,290,0.7161
1,1,1,291,0.85
1,1,1,292,0.9068
1,1,1,293,0.9113
1,1,1,294,0.909
1,1,1,295,0.8983
1,1,1,296,0.882
1,1,1,297,0.8939
1,1,1,298,0.8552
1,1,1,299,0.7402
1,1,1,300,0.6415
1,1,1,301,0.4252
1,1,1,302,0.3199
1,1,1,303,0.4112
1,1,1,304,0.3013
1,1,1,305,0.1283
1,1,1,306,0.1027
1,1,1,307,0.0906
1,1,1,308,0.1089
1,1,1,309,0.1346
1,1,1,310,0.2418
1,1,1,311,0.2778
1,1,1,312,0.2265
1,1,1,313,0.1598
1,1,1,314,0.1178
1,1,1,315,0.0875
1,1,1,316,0.0607
1,1,1,317,0.0768
1,1,1,318,0.0606
1,1,1,319,0.062
1,1,1,320,0.083
1,1,1,321,0.0456
1,1,1,322,0.0715
1,1,1,323,0.0636
1,1,1,324,0.0209
1,1,1,325,0.0243
1,1,1,326,0.0139
1,1,1,327,0.0414
1,1,1,328,0.0859
