weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.592883992
1,1,1,2,0.628379766
1,1,1,3,0.667493211
1,1,1,4,0.681392448
1,1,1,5,0.653983731
1,1,1,6,0.573611622
1,1,1,7,0.463208088
1,1,1,8,0.361931239
1,1,1,9,0.260370141
1,1,1,10,0.196176042
1,1,1,11,0.158653575
1,1,1,12,0.164622173
1,1,1,13,0.20026205
1,1,1,14,0.248572548
1,1,1,15,0.303795908
1,1,1,16,0.559583292
1,1,1,17,0.769008333
1,1,1,18,0.859385365
1,1,1,19,0.915930033
1,1,1,20,0.920837247
1,1,1,21,0.88168596
1,1,1,22,0.827776644
1,1,1,23,0.768817746
1,1,1,24,0.709607563
1,1,1,25,0.672797113
1,1,1,26,0.630132295
1,1,1,27,0.611176254
1,1,1,28,0.595343687
1,1,1,29,0.587246815
1,1,1,30,0.577782507
1,1,1,31,0.543034799
1,1,1,32,0.444011931
1,1,1,33,0.322911633
1,1,1,34,0.265826324
1,1,1,35,0.198032515
1,1,1,36,0.144186548
1,1,1,37,0.096615383
1,1,1,38,0.057205904
1,1,1,39,0.029647001
1,1,1,40,0.033703538
1,1,1,41,0.031331317
1,1,1,42,0.030006477
1,1,1,43,0.028022299
1,1,1,44,0.023024505
1,1,1,45,0.019236886
1,1,1,46,0.020208069
1,1,1,47,0.024355744
1,1,1,48,0.035117693
1,1,1,49,0.049872693
1,1,1,50,0.068413903
1,1,1,51,0.09247875
1,1,1,52,0.121873497
1,1,1,53,0.160160737
1,1,1,54,0.212080104
1,1,1,55,0.277189461
1,1,1,56,0.179554985
1,1,1,57,0.081058571
1,1,1,58,0.094737775
1,1,1,59,0.135487202
1,1,1,60,0.172662634
1,1,1,61,0.193160681
1,1,1,62,0.191307734
1,1,1,63,0.32644317
1,1,1,64,0.582377001
1,1,1,65,0.663700919
1,1,1,66,0.68769465
1,1,1,67,0.682439453
1,1,1,68,0.658254554
1,1,1,69,0.635135331
1,1,1,70,0.61475718
1,1,1,71,0.593078984
1,1,1,72,0.585522924
1,1,1,73,0.566429639
1,1,1,74,0.559476618
1,1,1,75,0.552673694
1,1,1,76,0.541419126
1,1,1,77,0.527485082
1,1,1,78,0.514595967
1,1,1,79,0.497457452
1,1,1,80,0.310614137
1,1,1,81,0.137698724
1,1,1,82,0.09769641
1,1,1,83,0.097387202
1,1,1,84,0.107693884
1,1,1,85,0.118918884
1,1,1,86,0.127876622
1,1,1,87,0.178245826
1,1,1,88,0.361763132
1,1,1,89,0.512984237
1,1,1,90,0.589945681
1,1,1,91,0.638381585
1,1,1,92,0.65984683
1,1,1,93,0.670663824
1,1,1,94,0.684113278
1,1,1,95,0.688481027
1,1,1,96,0.67653308
1,1,1,97,0.651963218
1,1,1,98,0.630152065
1,1,1,99,0.58885115
1,1,1,100,0.542280458
1,1,1,101,0.516104747
1,1,1,102,0.490147626
1,1,1,103,0.465868449
1,1,1,104,0.43255955
1,1,1,105,0.36549298
1,1,1,106,0.283784639
1,1,1,107,0.216047403
1,1,1,108,0.216751629
1,1,1,109,0.221280882
1,1,1,110,0.273790833
1,1,1,111,0.409504606
1,1,1,112,0.607018307
1,1,1,113,0.750036715
1,1,1,114,0.817557333
1,1,1,115,0.835335007
1,1,1,116,0.840389844
1,1,1,117,0.841233884
1,1,1,118,0.861654963
1,1,1,119,0.88065894
1,1,1,120,0.858509821
1,1,1,121,0.823057225
1,1,1,122,0.796650949
1,1,1,123,0.751019784
1,1,1,124,0.718990368
1,1,1,125,0.700491451
1,1,1,126,0.690702325
1,1,1,127,0.698284289
1,1,1,128,0.553929725
1,1,1,129,0.444993772
1,1,1,130,0.510915253
1,1,1,131,0.55669003
1,1,1,132,0.588500945
1,1,1,133,0.613801336
1,1,1,134,0.594821715
