weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.0
1,1,1,2,0.0
1,1,1,3,0.0
1,1,1,4,0.0
1,1,1,5,0.0
1,1,1,6,0.0
1,1,1,7,0.029151236
1,1,1,8,0.129061215
1,1,1,9,0.203191381
1,1,1,10,0.227539625
1,1,1,11,0.256431364
1,1,1,12,0.263091602
1,1,1,13,0.237844525
1,1,1,14,0.198947992
1,1,1,15,0.169324398
1,1,1,16,0.06600182
1,1,1,17,0.0
1,1,1,18,0.0
1,1,1,19,0.0
1,1,1,20,0.0
1,1,1,21,0.0
1,1,1,22,0.0
1,1,1,23,0.0
1,1,1,24,0.0
1,1,1,25,0.0
1,1,1,26,0.0
1,1,1,27,0.0
1,1,1,28,0.0
1,1,1,29,0.0
1,1,1,30,0.0
1,1,1,31,0.032583304
1,1,1,32,0.257764061
1,1,1,33,0.353606872
1,1,1,34,0.330050925
1,1,1,35,0.327799385
1,1,1,36,0.340402114
1,1,1,37,0.327246011
1,1,1,38,0.29090789
1,1,1,39,0.240985438
1,1,1,40,0.078831654
1,1,1,41,0.0
1,1,1,42,0.0
1,1,1,43,0.0
1,1,1,44,0.0
1,1,1,45,0.0
1,1,1,46,0.0
1,1,1,47,0.0
1,1,1,48,0.0
1,1,1,49,0.0
1,1,1,50,0.0
1,1,1,51,0.0
1,1,1,52,0.0
1,1,1,53,0.0
1,1,1,54,0.0
1,1,1,55,0.056099731
1,1,1,56,0.223863967
1,1,1,57,0.275288523
1,1,1,58,0.27927964
1,1,1,59,0.290853305
1,1,1,60,0.280848311
1,1,1,61,0.261663612
1,1,1,62,0.242332576
1,1,1,63,0.181677271
1,1,1,64,0.057815047
1,1,1,65,0.0
1,1,1,66,0.0
1,1,1,67,0.0
1,1,1,68,0.0
1,1,1,69,0.0
1,1,1,70,0.0
1,1,1,71,0.0
1,1,1,72,0.0
1,1,1,73,0.0
1,1,1,74,0.0
1,1,1,75,0.0
1,1,1,76,0.0
1,1,1,77,0.0
1,1,1,78,0.0
1,1,1,79,0.026013342
1,1,1,80,0.124209579
1,1,1,81,0.208873942
1,1,1,82,0.257030385
1,1,1,83,0.298285527
1,1,1,84,0.307834868
1,1,1,85,0.289105564
1,1,1,86,0.236814138
1,1,1,87,0.145975273
1,1,1,88,0.045179072
1,1,1,89,0.0
1,1,1,90,0.0
1,1,1,91,0.0
1,1,1,92,0.0
1,1,1,93,0.0
1,1,1,94,0.0
1,1,1,95,0.0
1,1,1,96,0.0
1,1,1,97,0.0
1,1,1,98,0.0
1,1,1,99,0.0
1,1,1,100,0.0
1,1,1,101,0.0
1,1,1,102,0.0
1,1,1,103,0.039007928
1,1,1,104,0.094553067
1,1,1,105,0.163529494
1,1,1,106,0.220182511
1,1,1,107,0.253861038
1,1,1,108,0.262669302
1,1,1,109,0.224270298
1,1,1,110,0.194906787
1,1,1,111,0.1707009
1,1,1,112,0.082512315
1,1,1,113,0.0
1,1,1,114,0.0
1,1,1,115,0.0
1,1,1,116,0.0
1,1,1,117,0.0
1,1,1,118,0.0
1,1,1,119,0.0
1,1,1,120,0.0
1,1,1,121,0.0
1,1,1,122,0.0
1,1,1,123,0.0
1,1,1,124,0.0
1,1,1,125,0.0
1,1,1,126,0.0
1,1,1,127,0.118433415
1,1,1,128,0.383236306
1,1,1,129,0.42764008
1,1,1,130,0.427217983
1,1,1,131,0.405896651
1,1,1,132,0.393127431
1,1,1,133,0.382131041
1,1,1,134,0.403540546
1,1,1,135,0.356111234
1,1,1,136,0.152420382
1,1,1,137,0.0
1,1,1,138,0.0
1,1,1,139,0.0
1,1,1,140,0.0
1,1,1,141,0.0
1,1,1,142,0.0
1,1,1,143,0.0
1,1,1,144,0.0
1,1,1,145,0.0
1,1,1,146,0.0
1,1,1,147,0.0
1,1,1,148,0.0
1,1,1,149,0.0
1,1,1,150,0.0
1,1,1,151,0.119834607
1,1,1,152,0.38992697
1,1,1,153,0.381469036
1,1,1,154,0.412015296
1,1,1,155,0.417796154
1,1,1,156,0.401848844
1,1,1,157,0.379979525
1,1,1,158,0.356455792
1,1,1,159,0.322896067
1,1,1,160,0.141209215
1,1,1,161,0.0
1,1,1,162,0.0
1,1,1,163,0.0
1,1,1,164,0.0
1,1,1,165,0.0
1,1,1,166,0.0
1,1,1,167,0.0
1,1,1,168,0.0
1,1,1,169,0.0
1,1,1,170,0.0
1,1,1,171,0.0
1,1,1,172,0.0
1,1,1,173,0.0
1,1,1,174,0.0
1,1,1,175,0.09648465
1,1,1,176,0.333716532
1,1,1,177,0.378385414
1,1,1,178,0.361351302
1,1,1,179,0.368589906
1,1,1,180,0.398223442
1,1,1,181,0.437211981
1,1,1,182,0.464835931
1,1,1,183,0.41976726
1,1,1,184,0.156942128
1,1,1,185,0.0
1,1,1,186,0.0
1,1,1,187,0.0
1,1,1,188,0.0
1,1,1,189,0.0
1,1,1,190,0.0
1,1,1,191,0.0
1,1,1,192,0.0
1,1,1,193,0.0
1,1,1,194,0.0
1,1,1,195,0.0
1,1,1,196,0.0
1,1,1,197,0.0
1,1,1,198,0.0
1,1,1,199,0.106850435
1,1,1,200,0.501277664
1,1,1,201,0.630909101
1,1,1,202,0.608962282
1,1,1,203,0.568651787
1,1,1,204,0.562396223
1,1,1,205,0.593931461
1,1,1,206,0.602796344
1,1,1,207,0.558269955
1,1,1,208,0.232346803
1,1,1,209,0.0
1,1,1,210,0.0
1,1,1,211,0.0
1,1,1,212,0.0
1,1,1,213,0.0
1,1,1,214,0.0
1,1,1,215,0.0
1,1,1,216,0.0
1,1,1,217,0.0
1,1,1,218,0.0
1,1,1,219,0.0
1,1,1,220,0.0
1,1,1,221,0.0
1,1,1,222,0.0
1,1,1,223,0.080261201
1,1,1,224,0.360046965
1,1,1,225,0.573083557
1,1,1,226,0.576148072
1,1,1,227,0.544058492
1,1,1,228,0.54168666
1,1,1,229,0.554195877
1,1,1,230,0.555526159
1,1,1,231,0.476818886
1,1,1,232,0.173488492
1,1,1,233,0.0
1,1,1,234,0.0
1,1,1,235,0.0
1,1,1,236,0.0
1,1,1,237,0.0
1,1,1,238,0.0
1,1,1,239,0.0
1,1,1,240,0.0
1,1,1,241,0.0
1,1,1,242,0.0
1,1,1,243,0.0
1,1,1,244,0.0
1,1,1,245,0.0
1,1,1,246,0.0
1,1,1,247,0.120174428
1,1,1,248,0.471632095
1,1,1,249,0.575814153
1,1,1,250,0.570286013
1,1,1,251,0.5191696
1,1,1,252,0.470314654
1,1,1,253,0.423005206
1,1,1,254,0.378333755
1,1,1,255,0.334008822
1,1,1,256,0.145030027
1,1,1,257,0.0
1,1,1,258,0.0
1,1,1,259,0.0
1,1,1,260,0.0
1,1,1,261,0.0
1,1,1,262,0.0
1,1,1,263,0.0
1,1,1,264,0.0
1,1,1,265,0.0
1,1,1,266,0.0
1,1,1,267,0.0
1,1,1,268,0.0
1,1,1,269,0.0
1,1,1,270,0.0
1,1,1,271,0.113635557
1,1,1,272,0.424293841
1,1,1,273,0.549833053
1,1,1,274,0.548359583
1,1,1,275,0.499338732
1,1,1,276,0.423296278
1,1,1,277,0.378858783
1,1,1,278,0.350052009
1,1,1,279,0.298204426
1,1,1,280,0.141898039
1,1,1,281,5.76e-06
1,1,1,282,0.0
1,1,1,283,0.0
1,1,1,284,0.0
1,1,1,285,0.0
1,1,1,286,0.0
1,1,1,287,0.0
1,1,1,288,0.0
1,1,1,289,0.0
1,1,1,290,0.0
1,1,1,291,0.0
1,1,1,292,0.0
1,1,1,293,0.0
1,1,1,294,0.0
1,1,1,295,0.088799092
1,1,1,296,0.319616122
1,1,1,297,0.469574234
1,1,1,298,0.4774527
1,1,1,299,0.442169259
1,1,1,300,0.392499481
1,1,1,301,0.371901161
1,1,1,302,0.351591796
1,1,1,303,0.285233874
1,1,1,304,0.14321716
1,1,1,305,0.0
1,1,1,306,0.0
1,1,1,307,0.0
1,1,1,308,0.0
1,1,1,309,0.0
1,1,1,310,0.0
1,1,1,311,0.0
1,1,1,312,0.0
1,1,1,313,0.0
1,1,1,314,0.0
1,1,1,315,0.0
1,1,1,316,0.0
1,1,1,317,0.0
1,1,1,318,0.0
1,1,1,319,0.097146306
1,1,1,320,0.305979761
1,1,1,321,0.415025339
1,1,1,322,0.426280507
1,1,1,323,0.403048849
1,1,1,324,0.350485941
1,1,1,325,0.326005995
1,1,1,326,0.335185766
1,1,1,327,0.318563566
1,1,1,328,0.170322095
1,1,1,329,0.000135463
1,1,1,330,0.0
1,1,1,331,0.0
1,1,1,332,0.0
1,1,1,333,0.0
1,1,1,334,0.0
1,1,1,335,0.0
1,1,1,336,0.0
1,1,1,337,0.0
1,1,1,338,0.0
1,1,1,339,0.0
1,1,1,340,0.0
1,1,1,341,0.0
1,1,1,342,0.0
1,1,1,343,0.128042084
1,1,1,344,0.39578812
1,1,1,345,0.45225149
1,1,1,346,0.457584025
1,1,1,347,0.448352678
1,1,1,348,0.421239337
1,1,1,349,0.406215865
1,1,1,350,0.388921847
1,1,1,351,0.314120136
1,1,1,352,0.169343509
1,1,1,353,9.8e-05
1,1,1,354,0.0
1,1,1,355,0.0
1,1,1,356,0.0
1,1,1,357,0.0
1,1,1,358,0.0
1,1,1,359,0.0
1,1,1,360,0.0
1,1,1,361,0.0
1,1,1,362,0.0
1,1,1,363,0.0
1,1,1,364,0.0
1,1,1,365,0.0
1,1,1,366,0.0
1,1,1,367,0.122804944
1,1,1,368,0.353666151
1,1,1,369,0.398988586
1,1,1,370,0.413036836
1,1,1,371,0.396049853
1,1,1,372,0.380769301
1,1,1,373,0.361755781
1,1,1,374,0.34142924
1,1,1,375,0.283604996
1,1,1,376,0.128098928
1,1,1,377,0.0
1,1,1,378,0.0
1,1,1,379,0.0
1,1,1,380,0.0
1,1,1,381,0.0
1,1,1,382,0.0
1,1,1,383,0.0
1,1,1,384,0.0
1,1,1,385,0.0
1,1,1,386,0.0
1,1,1,387,0.0
1,1,1,388,0.0
1,1,1,389,0.0
1,1,1,390,0.0
1,1,1,391,0.071201101
1,1,1,392,0.271856822
1,1,1,393,0.351546429
1,1,1,394,0.379573747
1,1,1,395,0.349652944
1,1,1,396,0.297602973
1,1,1,397,0.248824227
1,1,1,398,0.227319696
1,1,1,399,0.160541282
1,1,1,400,0.074187073
1,1,1,401,0.0
1,1,1,402,0.0
1,1,1,403,0.0
1,1,1,404,0.0
1,1,1,405,0.0
1,1,1,406,0.0
1,1,1,407,0.0
1,1,1,408,0.0
1,1,1,409,0.0
1,1,1,410,0.0
1,1,1,411,0.0
1,1,1,412,0.0
1,1,1,413,0.0
1,1,1,414,0.0
1,1,1,415,0.079833842
1,1,1,416,0.183542332
1,1,1,417,0.13451996
1,1,1,418,0.193147505
1,1,1,419,0.265671733
1,1,1,420,0.290669509
1,1,1,421,0.281502269
1,1,1,422,0.265719434
1,1,1,423,0.225519348
1,1,1,424,0.114502334
1,1,1,425,0.0
1,1,1,426,0.0
1,1,1,427,0.0
1,1,1,428,0.0
1,1,1,429,0.0
1,1,1,430,0.0
1,1,1,431,0.0
1,1,1,432,0.0
1,1,1,433,0.0
1,1,1,434,0.0
1,1,1,435,0.0
1,1,1,436,0.0
1,1,1,437,0.0
1,1,1,438,0.0
1,1,1,439,0.049585684
1,1,1,440,0.19638281
1,1,1,441,0.270324935
1,1,1,442,0.338676034
1,1,1,443,0.380113381
1,1,1,444,0.415744476
1,1,1,445,0.415358313
1,1,1,446,0.403603786
1,1,1,447,0.347985831
1,1,1,448,0.14493642
1,1,1,449,0.0
1,1,1,450,0.0
1,1,1,451,0.0
1,1,1,452,0.0
1,1,1,453,0.0
1,1,1,454,0.0
1,1,1,455,0.0
1,1,1,456,0.0
1,1,1,457,0.0
1,1,1,458,0.0
1,1,1,459,0.0
1,1,1,460,0.0
1,1,1,461,0.0
1,1,1,462,0.0
1,1,1,463,0.13381244
1,1,1,464,0.511115095
1,1,1,465,0.614049296
1,1,1,466,0.594374021
1,1,1,467,0.578908038
1,1,1,468,0.569592948
1,1,1,469,0.585296023
1,1,1,470,0.599795244
1,1,1,471,0.568520219
1,1,1,472,0.295417856
1,1,1,473,0.000591644
1,1,1,474,0.0
1,1,1,475,0.0
1,1,1,476,0.0
1,1,1,477,0.0
1,1,1,478,0.0
1,1,1,479,0.0
1,1,1,480,0.0
1,1,1,481,0.0
1,1,1,482,0.0
1,1,1,483,0.0
1,1,1,484,0.0
1,1,1,485,0.0
