weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.684536861
1,1,1,2,0.643191304
1,1,1,3,0.593517659
1,1,1,4,0.540885507
1,1,1,5,0.490446393
1,1,1,6,0.44727279
1,1,1,7,0.409095919
1,1,1,8,0.365545418
1,1,1,9,0.204344654
1,1,1,10,0.136400003
1,1,1,11,0.097269445
1,1,1,12,0.073331034
1,1,1,13,0.060584996
1,1,1,14,0.056326474
1,1,1,15,0.05784081
1,1,1,16,0.067698455
1,1,1,17,0.110025757
1,1,1,18,0.157825832
1,1,1,19,0.189047895
1,1,1,20,0.199002419
1,1,1,21,0.194802802
1,1,1,22,0.186567267
1,1,1,23,0.175693864
1,1,1,24,0.163614763
1,1,1,25,0.152599975
1,1,1,26,0.143513929
1,1,1,27,0.135635612
1,1,1,28,0.128779832
1,1,1,29,0.125743848
1,1,1,30,0.127813671
1,1,1,31,0.134628095
1,1,1,32,0.143386721
1,1,1,33,0.115691281
1,1,1,34,0.067877355
1,1,1,35,0.056516678
1,1,1,36,0.068972953
1,1,1,37,0.083928806
1,1,1,38,0.098183925
1,1,1,39,0.110800152
1,1,1,40,0.152360534
1,1,1,41,0.268673161
1,1,1,42,0.366176839
1,1,1,43,0.423645328
1,1,1,44,0.45504653
1,1,1,45,0.481800324
1,1,1,46,0.50842356
1,1,1,47,0.535067818
1,1,1,48,0.562017936
1,1,1,49,0.582392452
1,1,1,50,0.593722238
1,1,1,51,0.594818936
1,1,1,52,0.589583164
1,1,1,53,0.584598945
1,1,1,54,0.581887443
1,1,1,55,0.585416644
1,1,1,56,0.593716939
1,1,1,57,0.502395846
1,1,1,58,0.375164861
1,1,1,59,0.344365782
1,1,1,60,0.393394479
1,1,1,61,0.465912862
1,1,1,62,0.524207823
1,1,1,63,0.559493502
1,1,1,64,0.595700486
1,1,1,65,0.686585583
1,1,1,66,0.741227216
1,1,1,67,0.760231818
1,1,1,68,0.762761301
1,1,1,69,0.769415828
1,1,1,70,0.768032165
1,1,1,71,0.771907827
1,1,1,72,0.761261273
1,1,1,73,0.74788701
1,1,1,74,0.731014504
1,1,1,75,0.71433561
1,1,1,76,0.697060942
1,1,1,77,0.680538646
1,1,1,78,0.665120047
1,1,1,79,0.643960197
1,1,1,80,0.61995185
1,1,1,81,0.562377894
1,1,1,82,0.439794188
1,1,1,83,0.373346602
1,1,1,84,0.347645011
1,1,1,85,0.328123522
1,1,1,86,0.308472515
1,1,1,87,0.292063299
1,1,1,88,0.268777517
