weather_iteration,hydro_iteration,availability_iteration
2007,1,20071
2007,1,20072
2007,1,20073
2007,1,20074
2007,1,20075
2008,1,20081
2008,1,20082
2008,1,20083
2008,1,20084
2008,1,20085
2009,1,20091
2009,1,20092
2009,1,20093
2009,1,20094
2009,1,20095
2010,1,20101
2010,1,20102
2010,1,20103
2010,1,20104
2010,1,20105
2011,1,20111
2011,1,20112
2011,1,20113
2011,1,20114
2011,1,20115
2012,1,20121
2012,1,20122
2012,1,20123
2012,1,20124
2012,1,20125
2013,1,20131
2013,1,20132
2013,1,20133
2013,1,20134
2013,1,20135
2019,1,20191
2019,1,20192
2019,1,20193
2019,1,20194
2019,1,20195
2020,1,20201
2020,1,20202
2020,1,20203
2020,1,20204
2020,1,20205
2021,1,20211
2021,1,20212
2021,1,20213
2021,1,20214
2021,1,20215
2022,1,20221
2022,1,20222
2022,1,20223
2022,1,20224
2022,1,20225
2023,1,20221
2023,1,20222
2023,1,20223
2023,1,20224
2023,1,20225
