subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,linked_timepoint,year,month,day_of_month,hour_of_day,timestamp,ignore_horizon_day
1,1,1,2035,1,1,,0,,,1,1,1,1/1/07 12:00 AM,
1,1,2,2035,1,1,,0,,,1,1,2,1/1/07 1:00 AM,
1,1,3,2035,1,1,,0,,,1,1,3,1/1/07 2:00 AM,
1,1,4,2035,1,1,,0,,,1,1,4,1/1/07 3:00 AM,
1,1,5,2035,1,1,,0,,,1,1,5,1/1/07 4:00 AM,
1,1,6,2035,1,1,,0,,,1,1,6,1/1/07 5:00 AM,
1,1,7,2035,1,1,,0,,,1,1,7,1/1/07 6:00 AM,
1,1,8,2035,1,1,,0,,,1,1,8,1/1/07 7:00 AM,
1,1,9,2035,1,1,,0,,,1,1,9,1/1/07 8:00 AM,
1,1,10,2035,1,1,,0,,,1,1,10,1/1/07 9:00 AM,
1,1,11,2035,1,1,,0,,,1,1,11,1/1/07 10:00 AM,
1,1,12,2035,1,1,,0,,,1,1,12,1/1/07 11:00 AM,
1,1,13,2035,1,1,,0,,,1,1,13,1/1/07 12:00 PM,
1,1,14,2035,1,1,,0,,,1,1,14,1/1/07 1:00 PM,
1,1,15,2035,1,1,,0,,,1,1,15,1/1/07 2:00 PM,
1,1,16,2035,1,1,,0,,,1,1,16,1/1/07 3:00 PM,
1,1,17,2035,1,1,,0,,,1,1,17,1/1/07 4:00 PM,
1,1,18,2035,1,1,,0,,,1,1,18,1/1/07 5:00 PM,
1,1,19,2035,1,1,,0,,,1,1,19,1/1/07 6:00 PM,
1,1,20,2035,1,1,,0,,,1,1,20,1/1/07 7:00 PM,
1,1,21,2035,1,1,,0,,,1,1,21,1/1/07 8:00 PM,
1,1,22,2035,1,1,,0,,,1,1,22,1/1/07 9:00 PM,
1,1,23,2035,1,1,,0,,,1,1,23,1/1/07 10:00 PM,
1,1,24,2035,1,1,,0,,,1,1,24,1/1/07 11:00 PM,
2,1,25,2035,1,1,,0,,,1,2,1,1/2/07 12:00 AM,
2,1,26,2035,1,1,,0,,,1,2,2,1/2/07 1:00 AM,
2,1,27,2035,1,1,,0,,,1,2,3,1/2/07 2:00 AM,
2,1,28,2035,1,1,,0,,,1,2,4,1/2/07 3:00 AM,
2,1,29,2035,1,1,,0,,,1,2,5,1/2/07 4:00 AM,
2,1,30,2035,1,1,,0,,,1,2,6,1/2/07 5:00 AM,
2,1,31,2035,1,1,,0,,,1,2,7,1/2/07 6:00 AM,
2,1,32,2035,1,1,,0,,,1,2,8,1/2/07 7:00 AM,
2,1,33,2035,1,1,,0,,,1,2,9,1/2/07 8:00 AM,
2,1,34,2035,1,1,,0,,,1,2,10,1/2/07 9:00 AM,
2,1,35,2035,1,1,,0,,,1,2,11,1/2/07 10:00 AM,
2,1,36,2035,1,1,,0,,,1,2,12,1/2/07 11:00 AM,
2,1,37,2035,1,1,,0,,,1,2,13,1/2/07 12:00 PM,
2,1,38,2035,1,1,,0,,,1,2,14,1/2/07 1:00 PM,
2,1,39,2035,1,1,,0,,,1,2,15,1/2/07 2:00 PM,
2,1,40,2035,1,1,,0,,,1,2,16,1/2/07 3:00 PM,
2,1,41,2035,1,1,,0,,,1,2,17,1/2/07 4:00 PM,
2,1,42,2035,1,1,,0,,,1,2,18,1/2/07 5:00 PM,
2,1,43,2035,1,1,,0,,,1,2,19,1/2/07 6:00 PM,
2,1,44,2035,1,1,,0,,,1,2,20,1/2/07 7:00 PM,
2,1,45,2035,1,1,,0,,,1,2,21,1/2/07 8:00 PM,
2,1,46,2035,1,1,,0,,,1,2,22,1/2/07 9:00 PM,
2,1,47,2035,1,1,,0,,,1,2,23,1/2/07 10:00 PM,
2,1,48,2035,1,1,,0,,,1,2,24,1/2/07 11:00 PM,
3,1,49,2035,1,1,,0,,,1,3,1,1/3/07 12:00 AM,
3,1,50,2035,1,1,,0,,,1,3,2,1/3/07 1:00 AM,
3,1,51,2035,1,1,,0,,,1,3,3,1/3/07 2:00 AM,
3,1,52,2035,1,1,,0,,,1,3,4,1/3/07 3:00 AM,
3,1,53,2035,1,1,,0,,,1,3,5,1/3/07 4:00 AM,
3,1,54,2035,1,1,,0,,,1,3,6,1/3/07 5:00 AM,
3,1,55,2035,1,1,,0,,,1,3,7,1/3/07 6:00 AM,
3,1,56,2035,1,1,,0,,,1,3,8,1/3/07 7:00 AM,
3,1,57,2035,1,1,,0,,,1,3,9,1/3/07 8:00 AM,
3,1,58,2035,1,1,,0,,,1,3,10,1/3/07 9:00 AM,
3,1,59,2035,1,1,,0,,,1,3,11,1/3/07 10:00 AM,
3,1,60,2035,1,1,,0,,,1,3,12,1/3/07 11:00 AM,
3,1,61,2035,1,1,,0,,,1,3,13,1/3/07 12:00 PM,
3,1,62,2035,1,1,,0,,,1,3,14,1/3/07 1:00 PM,
3,1,63,2035,1,1,,0,,,1,3,15,1/3/07 2:00 PM,
3,1,64,2035,1,1,,0,,,1,3,16,1/3/07 3:00 PM,
3,1,65,2035,1,1,,0,,,1,3,17,1/3/07 4:00 PM,
3,1,66,2035,1,1,,0,,,1,3,18,1/3/07 5:00 PM,
