transmission_simultaneous_flow_limit,period,max_flow_mw
IESO_Import,2035,2206
ISONE_Import,2035,2310
MARITIMES_Import,2035,900
NYISO_Import,2035,2800
HQ_Import,2035,5217
MB_HYDRO_Import,2035,2483
MISO_E_Import,2035,5140
MISO_W_Import,2035,7790
PJM_E_Import,2035,4760
SASK_POWER_Import,2035,743
MISO_S_Import,2035,4300
PJM_W_Import,2035,10940
SERC_C_Import,2035,8440
SPP_S_Import,2035,6450
MISO_C_Import,2035,12710
SERC_SE_Import,2035,6530
SPP_N_Import,2035,2210
PJM_S_Import,2035,9580
SERC_E_Import,2035,5460
SERC_FL_Import,2035,2960
